Title,Description,Link,Date,Location
Zimske lutkovne počitnice,"
2024-02-26T10:00:00+01:00
 Lutkovno gledališče Maribor, Lutkovni muzej Maribor Maribor",https://dogodki.kulturnik.si/?where=Lutkovno%20gledali%C5%A1%C4%8De%20Maribor%2C%20Lutkovni%20muzej%20Maribor-https://dogodki.kulturnik.si/?where=Maribor,"ponedeljek, 26. februar 2024",
Bernekerjeva počitniška ustvarjalnica v februarju 2024,"
2024-02-27T00:00:00+01:00
2024-02-27T23:59:59+01:00
 Koroška galerija likovnih umetnosti Slovenj Gradec",https://dogodki.kulturnik.si/?where=Koro%C5%A1ka%20galerija%20likovnih%20umetnosti-https://dogodki.kulturnik.si/?where=Slovenj%20Gradec,"torek, 27. februar 2024",
Maria Lassnig: Risbe in slike,"
2024-02-28T00:00:00+01:00
2024-08-18T23:59:59+02:00
 Cankarjev dom, Galerija CD Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Galerija%20CD-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 28. februar 2024",
Zadnje vodstvo po razstavi Glasba pred in za objektom s kustosom Markom Košanom,"
2024-02-29T00:00:00+01:00
2024-02-29T23:59:59+01:00
 Koroška galerija likovnih umetnosti Slovenj Gradec",https://dogodki.kulturnik.si/?where=Koro%C5%A1ka%20galerija%20likovnih%20umetnosti-https://dogodki.kulturnik.si/?where=Slovenj%20Gradec,"četrtek, 29. februar 2024",
Literature sveta - Fabula,"
Fri Mar 01 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sat Mar 23 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 1. marec 2024",
NI KINO,"
Sat Mar 02 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sun Mar 03 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,"sobota, 2. marec 2024",
Ansambel Modrijani,"
Sun Mar 03 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Puconci",https://dogodki.kulturnik.si/?where=Puconci,"nedelja, 3. marec 2024",
Labodje jezero,"
Mon Mar 04 2024 17:00:00 GMT+0100 (Central European Standard Time)
Mon Mar 04 2024 18:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 4. marec 2024",
Literature sveta - Fabula,"
Fri Mar 01 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sat Mar 23 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 1. marec 2024",
NI KINO,"
Sat Mar 02 2024 00:00:00 GMT+0100 (Central European Standard Time)
Sun Mar 03 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,"sobota, 2. marec 2024",
Ansambel Modrijani,"
Sun Mar 03 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Puconci",https://dogodki.kulturnik.si/?where=Puconci,"nedelja, 3. marec 2024",
Labodje jezero,"
Mon Mar 04 2024 17:00:00 GMT+0100 (Central European Standard Time)
Mon Mar 04 2024 18:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 4. marec 2024",
BARTONOVA AKADEMIJA | filmski abonma SREBRNO PLATNO,"
Tue Mar 05 2024 17:00:00 GMT+0100 (Central European Standard Time)
 Tomčeva dvorana Domžale",https://dogodki.kulturnik.si/?where=Tom%C4%8Deva%20dvorana-https://dogodki.kulturnik.si/?where=Dom%C5%BEale,"torek, 5. marec 2024",
Bartonova akademija,"
Wed Mar 06 2024 13:00:00 GMT+0100 (Central European Standard Time)
Wed Mar 06 2024 15:13:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 6. marec 2024",
Mladinsko Showcase,"
Thu Mar 07 2024 00:00:00 GMT+0100 (Central European Standard Time)
Mon Mar 11 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 7. marec 2024",
Ansambel Saša Avsenika / Die Mooskirchner,"
Fri Mar 08 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Gostilna in restavracija Avsenik Begunje na Gorenjskem",https://dogodki.kulturnik.si/?where=Gostilna%20in%20restavracija%20Avsenik-https://dogodki.kulturnik.si/?where=Begunje%20na%20Gorenjskem,"petek, 8. marec 2024",
Symphonika On the Rock,"
Sat Mar 09 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 9. marec 2024",
Dejan Vunjak in Brendijeve barabe,"
Sun Mar 10 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Krpanov dom, Pivka",https://dogodki.kulturnik.si/?where=Krpanov%20dom%2C%20Pivka,"nedelja, 10. marec 2024",
V dobrih rokah,"
Mon Mar 11 2024 17:00:00 GMT+0100 (Central European Standard Time)
 Oder pod zvezdami LGL Ljubljana",https://dogodki.kulturnik.si/?where=Oder%20pod%20zvezdami%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 11. marec 2024",
