Title,Description,Link,Date,Location
Mednarodni odprt šahovski turnir 28. Hit open 2024,,/sl/koledar-dogodkov/2024-01-26/2024011909451708/mednarodni-odprt-sahovski-turnir-28-hit-open-2024/,"

					26.01.2024 - 02.02.2024
				 
","

						Hotel Perla, dvorana Pinta
					"
Obeležitev rojstva slovenskega kulturnega praznika,,/sl/koledar-dogodkov/2024-02-01/2024011614141718/obelezitev-rojstva-slovenskega-kulturnega-praznika/,"

					01.02.2024
				 

					19:00
												","

						grajska klet, Vipavski Križ
					"
Slovesnost ob slovenskem kulturnem prazniku `V iskanju navdiha´,,/sl/koledar-dogodkov/2024-02-01/2024012610015516/slovesnost-ob-slovenskem-kulturnem-prazniku-`v-iskanju-navdiha´/,"

					01.02.2024
				 

					19:00
												","

						Velika dvorana Kulturnega doma Nova Gorica
					"
"Dobrodelni koncert Lions kluba Zemono, gost Marko Vozelj",,"/sl/koledar-dogodkov/2024-02-01/2024013008233236/dobrodelni-koncert-lions-kluba-zemono,-gost-marko-vozelj/","

					01.02.2024
				 

					18:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Slikarska razstava Zoje Makovec: Utrip narave,,/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					"
Razstava Mozaik 2024,,/sl/koledar-dogodkov/2024-01-13/2024010909131181/razstava-mozaik-2024/,"

					13.01.2024 - 03.02.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Mednarodni odprt šahovski turnir 28. Hit open 2024,,/sl/koledar-dogodkov/2024-01-26/2024011909451708/mednarodni-odprt-sahovski-turnir-28-hit-open-2024/,"

					26.01.2024 - 02.02.2024
				 
","

						Hotel Perla, dvorana Pinta
					"
Larin abonma: pogovorni večer s Ferijem Lainščkom,,/sl/koledar-dogodkov/2024-02-02/2023091915365910/larin-abonma:-pogovorni-vecer-s-ferijem-lainsckom/,"

					02.02.2024
				 

					19:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Park Wine Stars,,/sl/koledar-dogodkov/2024-02-02/2023121913445793/park-wine-stars/,"

					02.02.2024
				 

					19:00
												","

						Park, Hotel  &amp; Entertainment, Nova Gorica
					"
Slikarska razstava Zoje Makovec: Utrip narave,,/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					"
Razstava Mozaik 2024,,/sl/koledar-dogodkov/2024-01-13/2024010909131181/razstava-mozaik-2024/,"

					13.01.2024 - 03.02.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Zadnje vodstvo po razstavi filmskih plakatov,,/sl/koledar-dogodkov/2024-02-03/2024012418043990/zadnje-vodstvo-po-razstavi-filmskih-plakatov/,"

					03.02.2024
				 

					16:00
												","

						Vila Bartolomei, Solkan
					"
Kultura smo ljudje,,/sl/koledar-dogodkov/2024-02-03/2024012914550126/kultura-smo-ljudje/,"

					03.02.2024
				 

					18:00
												","

						dvorana OŠ Goče
					"
"Predstavitev publikacije Irene Martinuč: En buot so riekli: `Uoče zidar, sin zidar´",,"/sl/koledar-dogodkov/2024-02-03/2024013009072177/predstavitev-publikacije-irene-martinuc:-en-buot-so-riekli:-`uoce-zidar,-sin-zidar´/","

					03.02.2024
				 

					18:00
												","

						Kulturna dvorana Renče
					"
