Title,Description,Link,Date,StartDate,EndDate,Location
Časni plesi,,"http://www.veza.sigledal.org/dogodek/casni-plesi-e
https://dogodki.kulturnik.si/?where=Stara%20mestna%20elektrarna%20-%20Elektro%20Ljubljana
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T07:00:00+01:00,,"Stara mestna elektrarna - Elektro Ljubljana
Ljubljana"
Deklica z vžigalicami,,"http://www.veza.sigledal.org/uprizoritev/deklica-z-vzigalicami-1
https://dogodki.kulturnik.si/?where=Mini%20Teater
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T11:00:00+01:00,,"Mini Teater
Ljubljana"
Rdeča kapuca,,"http://www.veza.sigledal.org/uprizoritev/rdeca-kapuca
https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Frana%20%C5%BDi%C5%BEka
https://dogodki.kulturnik.si/?where=Maribor","ponedeljek, 11. marec 2024",2024-03-11T11:00:00+01:00,,"SNG Maribor: Dvorana Frana Žižka
Maribor"
Nesrečna bitja,,"https://www.kinodvor.org/film/nesrecna-bitja/
https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T15:30:00+01:00,2024-03-11T17:51:00+01:00,"Kinodvor dvorana
Ljubljana"
V dobrih rokah,,"http://www.lgl.si/si/predstave/vse-predstave/1162-V-dobrih-rokah
https://dogodki.kulturnik.si/?where=Oder%20pod%20zvezdami%20LGL
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T17:00:00+01:00,,"Oder pod zvezdami LGL
Ljubljana"
En–Knapovo Gibališče,,"http://www.veza.sigledal.org/dogodek/en-knapovo-gibalisce-e
https://dogodki.kulturnik.si/?where=%C5%A0panski%20borci%2C%20studio
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T17:30:00+01:00,,"Španski borci, studio
Ljubljana"
Neskončni spomin,,"https://www.kinodvor.org/film/neskoncni-spomin/
https://dogodki.kulturnik.si/?where=Kinodvor%20mala%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T17:30:00+01:00,2024-03-11T18:55:00+01:00,"Kinodvor mala dvorana
Ljubljana"
Svečan baletni večer,,"https://sngmb.mojekarte.si/si/svecan-baletni-vecer/vstopnice-1181287.html
https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...
https://dogodki.kulturnik.si/?where=Maribor","ponedeljek, 11. marec 2024",2024-03-11T18:00:00+01:00,,"SNG Maribor: Dvorana Ondine Otta Klasinc...
Maribor"
Zvezdice,,"http://www.veza.sigledal.org/uprizoritev/zvezdice
https://dogodki.kulturnik.si/?where=Gimnazija%20Nova%20Gorica
https://dogodki.kulturnik.si/?where=Nova%20Gorica","ponedeljek, 11. marec 2024",2024-03-11T18:00:00+01:00,,"Gimnazija Nova Gorica
Nova Gorica"
En–Knapovo Gibališče,,"http://www.veza.sigledal.org/dogodek/en-knapovo-gibalisce-e
https://dogodki.kulturnik.si/?where=%C5%A0panski%20borci%2C%20studio
https://dogodki.kulturnik.si/?where=Ljubljana","ponedeljek, 11. marec 2024",2024-03-11T18:30:00+01:00,,"Španski borci, studio
Ljubljana"
