Title,Description,Link,Date,StartDate,EndDate,Location
Struktura modernosti: iskanja Edvarda Ravnikarja,"
Osrednja razstava v Ravnikarjevem letu 2023.
 Osrednja razstava v Ravnikarjevem letu 2023. Edvard Ravnikar (1907 – 1993) je zakoličil prostore moderne slovenske družbe in države, preoblikoval razumevanje vloge arhitekta 20. stoletja, arhitekturo pa odprl ustvarjalnemu dvomu in nikoli dokončanemu eksperimentu. Nacionalni in mednarodni pomen Ravnikarjeve zapuščine in odnosa do arhitekturne dediščine 20. stoletja nasploh terja tudi njeno aktualizacijo v duhu 21. stoletja. Ravnikarjevi ambienti so bistveno zaznamovali proces osamosvojitve, tranzicijskih in sodobnih družbenih vrenj; odpirajo vprašanja dostopnega javnega prostora, energetske, programske in protipotresne sanacije stavb. Ti izzivi terjajo odgovorno posredovanje stroke med ohranjanjem dediščinske pričevalnosti in prilagajanja družbenim in okoljskim danostim, ki so bistveno drugačne od tistih iz časa Ravnikarjevega ustvarjanja. To so vprašanja, na katera odgovarja razstava v MAO. Na podlagi podrobne raziskave donacij Ravnikarjeve zapuščine, ki so jo MAO predali Ravnikarjevi dediči in Fakulteta za arhitekturo, razstava namesto pregleda celotnega opusa predstavlja kompleksnost razvoja, dilem, sprememb in usode nekaterih ključnih Ravnikarjevih del. Arhitektov opus je od sredine prejšnjega stoletja naprej zasukal razvoj slovenskega modernizma v smer suverenega in regionalno zaznamovanega jezika, ki pa je bil nenehno vpet v globalno arhitekturno sceno. Razstava podrobneje predstavi štiri sklope Ravnikarjevega ustvarjanja: njegove spomenike iz petdesetih let (še posebej spomenike na Rabu, v Dragi in na Goreljku, ki so ustvarili popolnoma nov, s krajino povezan spominski jezik), javne stavbe v Kranju (še posebej stavbo OLO Kranj, ki je poleg Plečnikovega NUK-a morda najpopolneje ohranjena slovenska celostna arhitekturna umetnina 20. stoletja), Trg Revolucije oziroma današnji Trg republike v Ljubljani z reprezentativnim kompleksom stavb državnega pomena (s katerim je Ravnikar ustvaril formo, merilo in prostor slovenski državnosti) in njegove neuresničene urbanistične projekte (še posebej vizionarska načrta za Skopje in Benetke, ki sta v času družbenih in okoljskih sprememb 21. stoletja morda še bolj aktualna kot v času nastanka). Pridruženi sestavni del razstave v MAO je tudi predstavitev Ravnikarjevih skic v sprejemni dvorani Cankarjevega doma. Skice širši javnosti predstavijo fantazijsko bogat Ravnikarjev notranji svet, ki se razlikuje od na prvi pogled povsem racionalističnega procesa ustvarjanja velikih modernističnih konceptov, ustrezno umeščena v celostno zasnovan Ravnikarjev ambient sredi mesta. Na razstavi je Ravnikarjev izjemen opus predstavljen z avtentičnim gradivom: originalnimi načrti in skicami, prvotnimi in na novo izdelanimi maketami, bogatim fotografskim in filmskim materialom, pričevanji Ravnikarjevih sodelavcev ter z ohranjenim gradivom Ravnikarjevega poučevanja in raziskovanja. Foto: Klemen Ilovar / MAO
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0506,14.5635
https://mao.si/razstava/delo-in-misel-edvarda-ravnikarja/","Thursday, 30. November 2023 - Sunday, 19. May 2024",,,"Ljubljana, MAO - Muzej za arhitekturo in oblikovanje"
Človek in čas,"
Nova stalna razstava, ki je nastala ob 100-letnici muzeja, osvetljuje človekove predstave o času, ki bistveno vplivajo na ritem življenja in notranjo izkušnjo časa; narekujejo torej raznovrstne načine življenja ljudi v različnih prostorih, okoljih in obdobjih.
 Nova stalna razstava, ki je nastala ob 100-letnici muzeja, osvetljuje človekove predstave o času, ki bistveno vplivajo na ritem življenja in notranjo izkušnjo časa; narekujejo torej raznovrstne načine življenja ljudi v različnih prostorih, okoljih in obdobjih. Po drugi strani razstava osvetljuje 100 izbranih predmetov iz zbirk SEM, ki pripovedujejo vsak svojo neponovljivo zgodbo o svojem izvoru, izdelovalcih in uporabnikih, ter o njihovem življenju v muzeju.  Čas živimo, je del nas, obkroža nas na vsakem koraku od rojstva do smrti - ko nas požene v nič ali morda večnost ... Z njim potujemo skozi življenje v ritmu srčnega utripa, s tokom biološke ure, ujeti v sekunde, minute in ure, vpeti v cikličnost dnevov in noči, tednov, mesecev, let, razpeti med delom in prostim časom, med vsakdanjikom in praznikom, v ritmu življenjskih mejnikov in prehodov. Čas razbiramo v sebi in na sebi, na stvareh in v okolici ... Čas v nas slika spomine, utrjuje občutja varne trajnosti in pripadnosti, a tudi minljivosti in tujosti. Ustvari zanimanje za minulo, spodbudi potrebo po spremembi in prikliče skrb za prihodnost, na katero bi tako radi vplivali. Čas – raznolik in enoten hkrati – odpira vprašanja o začetkih in koncih, o končnem in neskončnem, o življenju daleč stran in tukaj zdaj. Tako odstira pravcato mnoštvo časov, ki nam – zdaj en, zdaj drug – uravnavajo potek življenja in izrisujejo različne podobe lastnega življenja, dogodkov, stvari, ljudi, krajev ...
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0502,14.5039
https://www.etno-muzej.si/sl/razstave/clovek-in-cas-prvih-100
https://www.etno-muzej.si/sl/razstave/clovek-in-cas-prvih-100","Friday, 05. January 2024 - Tuesday, 31. December 2030",,,"Ljubljana, Slovenski etnografski muzej"
Maja Babič Košir: Ciao Amore,"
Ciao Amore je predstavitev najnovejše umetniške produkcije vizualne umetnice Maje Babič Košir.
 Ciao Amore je predstavitev najnovejše umetniške produkcije vizualne umetnice Maje Babič Košir. Razstava izhaja iz najdenih ali avtorici zapuščenih predmetov in materialov, ki jih v procesu umetniške intervencije na novo uporabi, predrugači in jih postavi v nove kontekste, tem delom pa bo pridružila tudi video in zvok. Umetničina praksa se posveča preučevanju in razumevanju minljivosti, trpkosti izgube in ohranjanja spomina, ki ne pomenijo odsotnosti ljubezni, pač pa prav nasprotno – so relikt pretekle ljubezni.
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.047,14.503
https://ravnikargallery.space/maja-babic-kosir-ciao-amore
","Wednesday, 17. January 2024 - Monday, 11. March 2024",,,"Ljubljana, Ravnikar Gallery Space"
Nekoč je bil Gutenwerd,"
Raziskovanje opuščene srednjeveške naselbine ob reki Krki.
 Raziskovanje opuščene srednjeveške naselbine ob reki Krki. Kakšno je bilo vsakdanje življenje v srednjeveškem trgu Gutenwerdu? Kakšna je bila usoda naselbine, potem ko so jo leta 1473 napadli Turki? Kako so jo po 500 letih odkrili arheologi in kaj vse so tam izkopali? Srednjeveški trg Gutenwerd (danes Otok pri Dobravi v občini Šentjernej) je bil povezan z bavarsko škofijo Freising. Na razstavi je predstavljen v okviru srednjeveške pokrajine ob Krki in dežele Kranjske, pa tudi v mejnem prostoru med nemškim cesarstvom in ogrsko državo, kamor so pogosto vpadali osmanski Turki. Raznovrstne arheološke najdbe, zgodovinske dokumente in upodobitve iz sočasnih likovnih virov dopolnjujejo replike predmetov, rekonstrukcije obrtnih delavnic lončarja, kovača, usnjarja in peka ter dveh tržnih stojnic. Na ogled so tudi video posnetki o nekdanjih obrtnih dejavnostih in kratka filmska zgodba o Gutenwerdu.
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0521,14.4995
https://www.nms.si/si/razstave/obcasne/11519-Nekoc-je-bil-Gutenwerd","Tuesday, 30. January 2024 - Sunday, 03. November 2024",,,"Ljubljana, Narodni muzej Slovenije"
Spekter. 70 let Zbirke UGM,"
Na veliki novi razstavi v Umetnostni galeriji Maribor razpiramo spekter pogledov, pozicij, oblik v umetniških delih iz Zbirke UGM in v umetnosti razstavne dejavnosti same.
 Na veliki novi razstavi v Umetnostni galeriji Maribor razpiramo spekter pogledov, pozicij, oblik v umetniških delih iz Zbirke UGM in v umetnosti razstavne dejavnosti same. 2. februar 2024–3. december 2025 Kakor umetniško delo tvorijo številni elementi, ki jih z uporabo veščin in orodij v harmonije spretno kombinirajo in soočajo njihovi avtorji in avtorice, je tudi razstava umetniška forma sama zase, ob snovanju katere veljajo načela, sorodna snovanju umetniškega dela – kjer so umetniška dela sestavni elementi konglomerata celote.  »Le čevlje sodi naj kopitar. Po izobrazbi nisem umetnostni zgodovinar, temveč industrijski oblikovalec, zato sem v vlogi avtorja postavitve primarno posegal po ključih formalizma – barve, teksture in oblike – kriterijih, ki so po definiciji del moje profesionalne domene. Osrednje vodilo pri postavitvi razstave, od izbora do načina predstavitve del, prostorskih intervencij (barve in obloge sten, način okvirjanja in obešanja), je preizpraševanje ideje standarda.« — David Tavčar Umetnostna galerija Maribor v letu, ko praznujemo 70 let, vabi k obisku nove občasne postavitve naše zbirke. Tokratno postavitev je zasnoval oblikovalec David Tavčar, ki je v preteklem letu prečesal Zbirko UGM in iz nje izbral več kot 250 umetnin, ikoničnih, manj znanih ali prvič razstavljenih, ter jih v sedmih sobanah in dveh dvoranah postavil v razgibano avtorsko doživetje. Umetnostna galerija Maribor od leta 1954 domuje v palači na Strossmayerjevi ulici, ki zaradi prostorskih omejitev ne dopušča sočasne stalne postavitve zbirke in velikih občasnih razstav. Ta izziv v galeriji že vrsto let premagujemo tako, da na občasnih postavitvah Zbirke UGM v vedno novih konstelacijah del in načinih predstavitve ponudimo svež premislek o naši zbirki ter zgodovini umetnosti preteklega stoletja v mestu, regiji in Sloveniji. Če je kuratorka Nadja Gnamuš pred desetimi leti na razstavi 60! Panorama zasnovala postavitev zbirke okoli vsebinskih in tematskih sklopov (osebno, umaknjeni subjekt, kulturne krajine in politično), pred štirimi leti pa smo 100+ vrhuncev iz Zbirke UGM postavili v kronološkem in slogovnem zaporedju, se Spekter osredotoča na formalne aspekte vizualne umetnosti: barva, oblika, material, tekstura, kompozicija. Prav tako smo v pričakovanju širitve v nove razstavne prostore na Rotovškem trgu posebno pozornost namenili prostorom našega do sedaj edinega domovanja in z oblikovalskimi konturami izpostavili najbolj značilne in karizmatične poteze palače na Strossmayerjevi. Pod taktirko Davida Tavčarja so prostori Umetnostne galerije Maribor postali prizorišča razstavljalskih eksperimentov in interpretacij zgodovinskih oblik postavitev umetnosti: od salonskega principa, principa bele kocke, do skicoznih postavitev in povsem originalnih novih form. Oblikovalec David Tavčar je prodoren mlad oblikovalec, znan zlasti po oblikovanju tekstila za mednarodne modne hiše in podjetja s tradicijo, interierjih in lastni blagovni znamki. V oblikovanju ga odlikuje sproščena in igriva poteza risbe z roko, smisel za humor in neizčrpen vir referenc na zgodovino umetnosti, obrti in oblikovanja. Tavčar podobe niza v zaporedja in mreže ter tako ustvarja prepoznavne vzorce, ki od bližnjih detajlov do učinka od daleč tvorijo kompleksno in suvereno celoto. Umetnostna galerija Maribor je Tavčarju, kot izrazito svojstvenemu connoisseurju umetnosti, zaupala in podala carte blanche, da s svojim pogledom in uporabo del iz Zbirke UGM splete bogato tapiserijo formalnih umetnostnih asociacij in konverzacij.
Tip: Kulturne prireditve
Organizator: Umetnostna galerija Maribor
","https://www.google.com/maps/dir/Current+Location/46.5587,15.642
https://www.visitmaribor.si/si/kaj-poceti/dogodki-in-prireditve/vsi-dogodki-in-prireditve/25833-spekter-70-let-zbirke-ugm","Friday, 02. February 2024 - Wednesday, 03. December 2025",,,"Maribor, Umetnostna galerija Maribor (Strossmayerjeva 6, Maribor)"
LUV fest,"
LUV festival združuje Ljubezen, Umetnost in Vandranje po Ljubljani. 
 LUV festival združuje Ljubezen, Umetnost in Vandranje po Ljubljani.  LUV boste lahko v polnem pomenu izkusili od 8. februarja, ko se spominjamo Franceta Prešerna, največjega slovenskega pesnika, pa vse do 12. marca, ko se ženijo ptički. Tako oni, kot tudi vi si boste lahko v mesecu ljubezni: S festivalom LUV fest slavimo ljubezen do naše kulture, do naše dediščine, do slovenske besede. Pod skupno krovno temo ljubezni predstavljamo številne kulturne dogodke v mestu, pa tudi zanimiv spremljevalni program. Gre za festival vseh žanrov za vse generacije. Želimo, da Ljubljana v času festivala postane prostor odkrivanja, spoznavanja, srečevanja in sobivanja najrazličnejših kultur.
Tip: Festivali, Kulturne prireditve, Zabavne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0578,14.4998
https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/luv-fest/
https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/luv-fest/","Thursday, 08. February 2024 - Tuesday, 12. March 2024",,,"Ljubljana, Različne lokacije po Ljubljani"
Festival LUV @Prulček,"
Obiščite Prulček vsak dan od ponedeljka in sobote na izjemnem kulturnem doživetju.
 Obiščite Prulček vsak dan od ponedeljka in sobote na izjemnem kulturnem doživetju. V Prulčku, malem prizorišču z intimno atmosfero na robu centra Ljubljane, so doma izjemna kulturna doživetja. Vsak dan od ponedeljka do sobote se bo tam zgodila pestra kombinacija koncertnih ciklov, spontanosti in domačnosti, z bogatim spektrom glasbenih slogov in talentov.
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.4612,14.5092
https://www.prulcek.si/
https://www.prulcek.si","Thursday, 08. February 2024 - Tuesday, 12. March 2024",,,"Ljubljana, Prulček"
Razširjeni vid,"
Od ljubezni se zvrti, na razstavi Razširjeni vid pa se vam bo zazdelo, da so vam spodnesli tla pod nogami. 
 Od ljubezni se zvrti, na razstavi Razširjeni vid pa se vam bo zazdelo, da so vam spodnesli tla pod nogami.  Na skupinski razstavi slovenskih umetnikov in umetnic Razširjeni vid bodo na ogled dela avtorjev, ki bodo zmedli vaše čute. Vabljeni v Cukrarno in uglejte svet na drugačen način!
Tip: Glasbene prireditve, Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.05,14.5199
https://cukrarna.art/sl/program/
https://cukrarna.art/sl/program/","Friday, 16. February 2024 - Sunday, 26. May 2024",,,"Ljubljana, Cukrarna"
Maria Lassnig: Risbe in slike,"
Prva samostojna razstava Marie Lassnig v Sloveniji.
 Prva samostojna razstava Marie Lassnig v Sloveniji. Ob 10. obletnici smrti Marie Lassnig (1919–2014), ene najpomembnejših avstrijskih in mednarodno priznanih umetnic, v Cankarjevem domu pripravljamo njeno prvo samostojno razstavo v Sloveniji. Lassnigova je poznana zlasti po svojih psihološko ekspresivnih avtoportretih in konceptu Body Awareness (t.i. zavedanje telesa). Na svoji izjemni umetniški poti je ustvarila bogat slikarski in risarski opus , posvečala pa se je tudi filmskemu ustvarjanju (animirani film). Živela je v zavzetem dialogu s svojo umetnostjo, ki je tvorila ključno prvino njenega bivanja. Čeprav je bila avtorica zasluženega javnega priznanja deležna razmeroma pozno v življenju, so sedaj njena dela pomemben del zbirk najvidnejših muzejev (MoMA v New Yorku, The Essl Collection, Museum Ludwig v Kölnu, muzej Albertina na Dunaju in drugje). Razstava bo na ogled postavila zlasti njena dela na papirju skupaj z nekaterimi izbranimi oljnimi slikami in izborom krajših animiranih filmov. Razstava nastaja v sodelovanju z: Maria Lassnig Foundation, Avstrijskim kulturnim forumom, Neue Galerie Graz, sixpackfilm in drugimi.
Tip: Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0498,14.4993
https://www.cd-cc.si/kultura/razstave/maria-lassnig-risbe-in-slike","Wednesday, 28. February 2024 - Sunday, 18. August 2024",,,"Ljubljana, Cankarjev dom"
Festival Literature sveta – Fabula,"
Festival Literature sveta – Fabula je najodmevnejši literarni festival v Sloveniji in eden pomembnejših v širši regiji.
 Festival Literature sveta – Fabula je najodmevnejši literarni festival v Sloveniji in eden pomembnejših v širši regiji. V letu 2024 bo festival pod sloganom Kar nas oblikuje pod drobnogled vzel tematiko človeške identitete, preučeval, kako ta oblikuje naše izkušnje in interakcije v sodobnem svetu. Z izpostavitvijo 5 avtorjev bo predstavil odmeve zgodb, ki raziskujejo kompleksno naravo identitete in spomina, spodbujajo k dialogu prek kulturnih in nacionalnih meja ter osvetljujejo skupne človeške vrednote. Festival Fabula odlikuje tudi izjemno razgiban spremljevalni program, ki je namenjen vsem generacijam bralstva ter prinaša vse od otroškega in mladinskega programa (Mlada Fabula), interaktivnih literarnih instalacij v javni prostor (Fabula polis), sodelovanj s slovenskimi založniki in knjigarnami (Fabulin izbor), žanrskega prepletanja med literaturo in gledališčem in ostalimi umetnostnimi žanri (Fabula izven literature), do projektov vzpostavljanja festivala kot inkubatorja novih literarnih idej ter prihodnjih literarnih usmeritev (Fabula Hub), s čimer krepimo prostor širše literarne in družbene skupnosti.
Tip: Festivali, Kulturne prireditve

","https://www.google.com/maps/dir/Current+Location/46.0498,14.4993
https://festival-fabula.org/2024/sl/","Friday, 01. March 2024 - Friday, 22. March 2024",,,Ljubljana
