Title,Description,Link,Date,Location
Ustvarjalni festival: Zimske počitnice malo drugače,"
Ura:10:00
Vstopnine ni
Marsikdo ob besedah zimske počitnice pomisli na zimo, sneg in smučanje, a lahko jih preživite tudi MALO DRUGAČE, če niste smučarji.
Za vse otroke je v Kulturnem domu Izola in Art kinu Odeon organizirano počitniško varstvo v obliki aktivnega preživljanje zimskih počitnic, ki bo potekal od ponedeljka, 19. do nedelje, 25. 2. 2024.
Potrebna je predhodna prijava preko spletnega obrazcaTUKAJ.

Program:
KULTURNI DOM IZOLA
Ponedeljek, 19. 2. 2024 ob 10.00DRUŽINSKA USTVARJALNICA s pravljičarko Tino
Torek, 20. 2. 2024 ob 10.00Film za otrokeDVOJNE POČITNICE
Sreda, 21. 2. 2024 ob 10.00Predstava in delavnica za otrokeKAMIŠIBAJ IN DELAVNICA, Aljoša Križ
Četrtek, 22. 2. 2024 ob 10.00Gledališka predstava (za otroke iz vrtca)MEDVEDJA SIMFONIJAGledališče Ku-Kuc
Petek, 23. 2. 2024 ob 10.00DRUŽINSKA USTVARJALNICA s pravljičarko Tino
Sobota, 24. 2. 2024 ob 10.00Gledališka predstava za otrokePRIJATELJSTVODramska skupina Vrtca “Mavrica” Izola

ART KINO ODEON
Sobota, 24. 2. 2024 ob 11.00FilmNEVERJETNA ZGODBA O VELIKANSKI HRUŠKI
Nedelja, 25. 2. 2024 ob 11.00FilmNAJBOLJŠI ROJSTNI DAN

Organizator: Center za kulturo, šport in prireditve Izola

Več informacij",https://center-izola.si/dogodki-in-prireditve/ustvarjalni-festival-zimske-pocitnice-malo-drugace/,19-25/02/24,Kulturni dom Izola in Art kino Odeon
Glasbeni večer: Ajda Božeglav ob spremljavi pianista,"
Ura:19:00
Vstopnine ni
Ajda je pevka, ki prihaja iz Sežane in se že vrsto let ukvarja z glasbo in petjem. Začela je pri 19 letih kot lead pevka v soul/funk zasedbi Grooveapartment, sodelovala pri Amali katere pobudnik je priznani romski glasbenik Traja Brizani, že vrsto let pa je back vokal pri Griff Zucherro celebration bandu. Najraje poje pesmi ameriških jazz in soul izvajalcev kot so Aretha Franklin, Etta James, Prince in Stevie Wonder. Če so črnski ritimi tisti, ki vam najprej ogrejejo srce lepo vabljeni, na akustični večer.

Organizator dogodka: DeGrassi Garni Boutique Hotel
Več informacij",https://degrassihotel.si/dogodki/,29/02/24,DeGrassi aperitivo bar
Gledališka predstava za otroke: Pikina velika pustolovščina,"
Ura:17:00
Vstopnina:5 €
Najbolj zabavna šolska ura na svetu
Vabljeni v čisto pravo šolo z učiteljico Nogavico. Igrali se bomo igro Zobek ne jezi se iz otoka Kariestintin, kjer si nihče ne pere zob. Rešili luknjaste pravljice iz strašnega otoka Sikiruž, na katerem so smrtonosne kače pojedle svoje domače branje. Razgibali se bomo ob jutranji »migivadbi« s pesmico, ki sta jo Pika in njen očka napisala, ko sta ušla strašnim morskim psom in celo nekaj malega začarali.
Vse to in še več, nas čaka v najbolj zabavni PIKINI ŠOLI, v kateri se bomo naučili prešteti svoje prste in stopnice, pisati velike črke in jih prebrati brez čarobnih očal, pripovedovati pravljice in plesati kot gospod Ficko. In zakaj? Zato da odrastemo in postanemo dolgočasneži, ki več nikoli ne skačejo bo blatnih lužah? Niti slučajno. Zato, da bomo lahko potovali po svetu, se pogovarjali s prijatelji iz Indije, izračunali kako preplezati Mont Everest, znali videti lepoto okoli nas in ujeli svoje sanje. Zato!
Najbolj primerna za:Vrtec 3-6, OŠ I. triada, OŠ II. triada
Vabljeni !
VSTOPNINA: 5€
Več informacij",https://center-izola.si/dogodki-in-prireditve/pikina-velika-pustolovscina/, 2/03/24,Kulturni dom Izola
"Otvoritev razstave: En džiro s čopičem, brez bližnjic","
Ura:19:00
Vstopnine ni
V četrtek, 7. marca 2024 bo v galeriji Alga potekala otvoritev razstave EN DŽIRO S ČOPIČEM, BREZ BLIŽNJIC, katere razstavljalka je Aljoša Križ. Razstava je retrospektivna slik, s katero Aljoša želi predstaviti vse spektre svojega likovnega ustvarjanja. Razstava se bo tekom meseca spreminjala, zato si lahko ogledate čisto vsa njena dela.
Razstava bo na ogled do 3. aprila 2024
Več informacij",https://center-izola.si/dogodki-in-prireditve/en-dziro-s-copicem-brez-bliznjic/, 7/03/24,Galerija Alga
Koncert ob dnevu žena - Pihalni orkester Izola,"
Ura:19:00
Vstopnina:5.00 €
Ob svetovnem dnevu žena, Pihalni orkester Izola pripravlja svečani koncert za vse ljubitelje in posebej ljubiteljice dobre glasbe.
Vabljeni v Kulturni dom Izola, v petek, 8. marca ob 19.00 uri.
Program prireditve objavimo v kratkem.

Več informacij",https://center-izola.si/dogodki-in-prireditve/koncert-ob-dnevu-zena-pihalni-orkester-izola/, 8/03/24,Kulturni dom Izola
Koncert: Elvis Šahbaz,"
Ura:20:00
Vstopnina:7 €
Organizator: Hangar Bar
Več informacij",https://www.facebook.com/izolahangarbar/, 8/03/24,Hangar Bar
Koncert: Drill & Nipke,"
Ura:20:00
Več informaciji sledi v naslednjih mesecih.
Več informacij",https://www.facebook.com/izolahangarbar,15/03/24,Hangar bar 
Velika nagrada Slovenske Istre,"
Več informacij za leto 2024 sledi.
Več informacij",https://www.gp-slovenianistria.si/,17/03/24,Vstopnine ni
Koncert: Bakan Rock Gang,"
Ura:21:00
Vstopnine ni
Organizator: Hangar bar
Več informacij",https://www.facebook.com/izolahangarbar,22/03/24,Hangar bar 
Koncert: Rudi Bučar Trio,"
Ura:20:00
Vstopnina:17 / 20 €
Rudi Bučar, istrski trubadur in večkratni zmagovalec festivalov, ki s svojim glasbenim ustvarjanjem že poldrugo desetletje ohranja in plemeniti istrsko kulturno dediščino, bo 22 marca 2024 ob 20. uri nastopil v Izolskem kulturnem domu.
Vsestranski glasbenik, ki je leta 2012 uspešno končal študij jazz petja in aranžiranja na Akademiji za glasbo v Trstu. Je izjemen folk glasbenik z brezhibno glasbeno interpretacijo in mojster istrske poetike. V slovenski Istri ga imajo že za svojega trubadurja; lahko rečemo, da je postal sodobna primorska legenda.

Zagotovi darilo svojim bližnjim z nakupom vstopnic za koncert Rudija Bučarja in jim tako polepšaj praznike.
CENA VSTOPNIC:– Praznična cena (prvi 25 vstopnic): 15 €– Predprodaja vstopnic: 17 €– Na dan dogodka 20 €

Predprodaja vstopnic: Galerija Alga in Art kino Odeon Izola v času uradnih ur

*Praznična cena velja zgolj ob nakupu vstopnic do 30. 12. 2023 oz. do prodaja vseh vstopnic po akcijski ceni.
(Organizator: CKŠP Izola)
Več informacij",https://center-izola.si/dogodki-in-prireditve/rudi-bucar-trio-2/,22/03/24,Kulturni dom Izola
