Title,Description,Link,Date,StartDate,EndDate,Location
Koncert: Drill & Nipke,"Vstopnina: 20,00 €
Vstopnice na voljo v Hangarju in online:https://vstopnice.kurz.si/event/3
Predprodaja 15€
Veteran slovenske hip hop scene Boštjan Nipič – Nipke, član uspešnega produkcijskega tima Dravle Records, je svoj prvenec izdal leta 2015. Z uspešnicami, kot so ""Všeč tko k je"", ""Bejba z neta"", ""Popoln lajf"" in ""Ina"", se je trdno zasidral med poslušalci in na radijskih valovih. Ko je prejel zlato piščal za pesem leta 2016 (""Noben me ne razume""), naslednje leto pa z Rokom Trkajem še medijski žaromet za pesem leta 2017 (""Vsi smo na istem""), je hip hop glasbo v Sloveniji pripeljal tudi med širšo javnost.
Drill je izolski raper, ki je lani maja izdal svoj peti solo album z naslovom ""Rojeni da blestimo"".In ko se združita dva hip-hop velikana in ko se pridružijo še gostje, mora Hangar počit po šivih ... zato poskrbi za svojo karto zdaj.
Gosti:
Dino Kaltak Al PadinoŽevžain se mnogi drugi,...
",https://www.facebook.com/izolahangarbar,"Friday, 15. March 2024",2024-03-15T20:00:00+01:00,,Hangar bar 
Velika nagrada Slovenske Istre,"Vstopnine ni
Več informacij za leto 2024 sledi.
",https://www.gp-slovenianistria.si/,"Sunday, 17. March 2024",,,
Koncert: Bakan Rock Gang,"Vstopnine ni
Organizator: Hangar bar
",https://www.facebook.com/izolahangarbar,"Friday, 22. March 2024",2024-03-22T21:00:00+01:00,,Hangar bar 
Koncert: Rudi Bučar Trio,"Vstopnina: 17 / 20 €
Rudi Bučar, istrski trubadur in večkratni zmagovalec festivalov, ki s svojim glasbenim ustvarjanjem že poldrugo desetletje ohranja in plemeniti istrsko kulturno dediščino, bo 22 marca 2024 ob 20. uri nastopil v Izolskem kulturnem domu.
Vsestranski glasbenik, ki je leta 2012 uspešno končal študij jazz petja in aranžiranja na Akademiji za glasbo v Trstu. Je izjemen folk glasbenik z brezhibno glasbeno interpretacijo in mojster istrske poetike. V slovenski Istri ga imajo že za svojega trubadurja; lahko rečemo, da je postal sodobna primorska legenda.
 
Zagotovi darilo svojim bližnjim z nakupom vstopnic za koncert Rudija Bučarja in jim tako polepšaj praznike.
CENA VSTOPNIC:– Praznična cena (prvi 25 vstopnic): 15 €– Predprodaja vstopnic: 17 €– Na dan dogodka 20 €
 
Predprodaja vstopnic: Galerija Alga in Art kino Odeon Izola v času uradnih ur
 
*Praznična cena velja zgolj ob nakupu vstopnic do 30. 12. 2023 oz. do prodaja vseh vstopnic po akcijski ceni.
(Organizator: CKŠP Izola)
",https://center-izola.si/dogodki-in-prireditve/rudi-bucar-trio-2/,"Friday, 22. March 2024",2024-03-22T20:00:00+01:00,,Kulturni dom Izola
Dobrodošla pomlad in materinski dan 2024,"Vstopnine ni
Čas je, da se poslovimo od zime in pozdravimo pomlad!
Pridružite se nam v parku Pietro Coppo v nedeljo, 24. marca 2024 od 10. ure dalje, kjer bomo skupaj s ČARODEJEM TONIJEM pričarali pomlad in zaplesali v ritmih skupine BABY BOOM!
Poleg pestrega programa bo na voljo tudi KOTIČEK ZA OTROKE, kjer bodo lahko likovno ustvarjali, starši pa se boste lahko posladkali na stojnicah
 
Se vidimo!
",https://center-izola.si/dogodki-in-prireditve/dobrodosla-pomlad-in-materinski-dan-2/,"Sunday, 24. March 2024",2024-03-24T10:00:00+01:00,2024-03-24T15:00:00+01:00,Park Pietro Coppo
Koncert: Pozdrav pomlad 2024,"Vstopnine ni
Vabljeni na prireditev Pozdrav pomladi 2024 – Območno revijo otroških in mladinskih pevskih zborov, ki bo v sredo, 27. marca, ob 18. uri v Kulturni dom Izola
Na območni reviji se bodo predstavili otroški in mladinski pevski zbori.
 
VSTOPNINA: Vstopnine ni.
",https://center-izola.si/dogodki-in-prireditve/pozdrav-pomladi-2024/,"Wednesday, 27. March 2024",2024-03-27T18:00:00+01:00,,Kulturni dom Izola
Jadralska regata: Izola spring cup,"Vstopnine ni
Izola Spring Cup, ki je najmočnejša regata za olimpijske in druge jadralne razrede v vzhodnem Sredozemlju in ena bolj poznanih spomladanskih regat v Evropi.
Prav v času Velikonočnih praznikov se v našem morju šele zares prične prava tekmovalna sezona. Vsekakor gre zahvala za priljubljenost regate Izola Spring Cup ugodnim pogojem za jadranje, dostopnosti slovenske obale in odprtosti naših meja z Evropo. Zato se vse večje število ekip in tudi celotnih državnih reprezentanc iz srednje, vzhodne in južne Evrope vse tja do Turčije, odloča za udeležbo na tej regati.
Organizator: JK Burja
 
",https://www.jadralniklub-burja.si/event/35th-izola-spring-cup-2024/,"Wednesday, 27. March 2024 - Sunday, 31. March 2024",,,Marina Izola
Kulinarični dnevi v izbranih gostilnah in restavracijah: Dnevi divjih špargljev,"Na Dnevih divjih špargljev boste v izolskih gostilnah in restavracijah uživali v jedeh s temi zdravimi divjimi poganjki , ki so značilni predvsem za Istro. Na raznolike načine jih bodo za vas pripravljali izbrani izolski chefi. Privoščite si fritajo s šparglji, testenine ali katero drugo specialiteto.
Sodelujoči gostinci bodo objavljeni naknadno.
",https://www.visitizola.com/okusi/dnevi-divjih-spargljev,"Friday, 29. March 2024 - Sunday, 14. April 2024",,,izbrane izolske gostilne in restavracije
Velikonočno popoldne,"Vstopnine ni
 
Tako kot vsako leto, tudi letos za vas pripravljamo pester velikonočni program. V soboto, 30. marca se bomo v parku Pietro Coppo družili ob pestrem programu, tako za otroke kot odrasle, vse od 15.00 pa do 20.00 ure.
Na stojničnem programu se nam bodo predstavili lokalni ponudniki.
Nastopali bodo Duo Pingo in skupina Keltika!
Se vidimo!
 
Organizator:CKŠP
",https://center-izola.si/dogodki-in-prireditve/velikonocno-popoldne-3/,"Saturday, 30. March 2024",2024-03-30T15:00:00+01:00,2024-03-30T20:00:00+01:00,Park Pietro Coppo
Pomol okusov I,"Vstopnine ni
Sezono izolskih »street food« dogodkov pričnemo na velikonočno soboto. Ponovno se bomo družili ob odlični kulinariki Slovenske Istre, ki bo dišala tako po morskih dobrotah kot po specialitetah istrskega podeželja. Za to da bo vaš krožnik lokalnih dobrot popoln, bodo poskrbeli tudi istrski vinarji, prav tako boste na svoj račun prišli ljubitelji lokalnega gina in craft piva, sladkosnedi pa se boste razveselili sladkih mojstrovin.
Izkušnjo istrske enogastronomije na enem mestu, idilično lokacijo s pogledom na izolski svetilnik in Bele skale (naj vam namignemo, da so prav tu sončni zahodi nepozabni!), sproščeno druženje in glasbo. Poleg kulinaričnega doživetja, pa si boste lahko podarili še kakšen trajnejši spominek na Izolo in pridobili uporabne informacije o Izoli in Slovenski Istri, saj bo na Pomolu okusov tudi stojnica TIC Izola.
Zaradi povečanega obiska Izole, ki ga prinaša prihajajoči vikend, priporočamo parkiranje izven mestnega jedra. V bližini starega mestnega jedra je na voljo parkirišče Argo, Ladjedelnica. Vsa parkirišča pa se nahahajo TUKAJ.
Ker v Izoli sledimo zeleni usmeritvi in neprestano izpopolnjujemo vizijo trajnostnega turizma, bo Pomol okusov potekal na okolju prijaznejši način. Hrana se bo servirala v papirnato oziroma biorazgradljivo embalažo, poskrbljeno bo za ločevanje odpadkov.
Tako tudi vas prijazno vabimo,  da odpadke ustrezno ločujete.
 
",https://www.visitizola.com/okusi/pomol-okusov,"Saturday, 30. March 2024",2024-03-30T11:00:00+01:00,,severni izolski pomol
Koncert: Dan D in Implosia,"Vstopnina: 20 €
DAN DTomislav Jovanovič – Tokac (glas, kitara)Dušan Obradinovič – Obra (bobni)Marko Turk – Tučo (kitara)Nikola Sekulovič (bas kitara)Boštjan Grubar (klaviature)
Dan D obljubljajo še eno brezčasno popotovanje po prostranstvih rock glasbe in smiselne poetike, ali kot je ob njihovem gostovanju v oddaji Izštekani zapisal Jure Longyka: “‘Dan D žanjejo upravičeno slavo. Na zadnji plošči so klasično rockersko poetiko izpilili, učvrstili in jo predvsem naredili bolj svojo ter bolj – našo. Da, če obstaja nekaj, čemur lahko rečemo ‘izročilo Jugoslovanskega rocka in novega vala’, je to slišati v muziki Dan D. V najbolj žlahtnem smislu, da ne bo pomote.”Implosia(Post Instrumental rock / SI)
Implosia je instrumentalni rock trio s svezimi kitarskimi rifi, primesjo melanholije in psihadelije iz Obale.Kitara: Elvis SahbazBass: Denis RadulovicBobni: Devid Bizjak
 
Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Sunday, 31. March 2024",2024-03-31T20:00:00+01:00,,Hangar Bar
Koncert: Adi Smolar,"Vstopnina: 18 €
Adi Smolar je slovenski kantavtor in kitarist. Ker je izhajal iz glasbene družine, je že kot majhen otrok igral harmoniko Na slovenski glasbeni sceni se je prvič uveljavil v devetdesetih, ko je leta 1994 izdal album “Neprilagojen”. Poznamo ga po hitih “Dvajset ljubic”, “Jaz sem nor”, “Daleč je za naju pomlad” in še mnoge druge.
 
Cena vstopnic:
V predprodaji: 18 €Na dan dogodka: 23 €
Predprodaja vstopnic: galerija Alga in v Art Kinu Odeon v času uradnih ur
 
Organizator dogodka: Center za kulturo, šport in prireditve Izola
",https://center-izola.si/dogodki-in-prireditve/adi-smolar/,"Friday, 05. April 2024",2024-04-05T20:00:00+01:00,,Kulturni dom Izola
Koncert: Jure Lesar in Krila Ptice,"Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Friday, 12. April 2024",2024-04-12T21:00:00+01:00,,Hangar Bar
Istrski maraton,"Več informacij za leto 2024 sledi. 
",https://istrski-maraton.si,"Saturday, 13. April 2024 - Sunday, 14. April 2024",,,Slovenska Istra
Koncert: Primorska poje 2024,"Vstopnine ni
Revija Primorska poje velja za eno največjih manifestacij slovenske ljubiteljske kulture.
Na njej se vsako leto zvrsti več kot 200 zborov, ki nastopajo po na Primorskem, v zamejstvu in tudi na Hrvaškem.
Na letošnji tradicionalni prireditvi se nam bodo v ZADRUŽNEM DOMU KORTE, v petek 19. aprila predstavili:
Ženski pevski zbor Ivan Grbec, Škedenj Silvana DobrilaMešani pevski zbor Bonaca, Piran Barbra MurataMešani pevski zbor Slovenski dom, Zagreb Ivica IvanovićVokalna skupina Chorus’ 97, Miren Ana ZalarMoški pevski zbor Kromberški Vodopivci, Kromberk Bogdan BreceljMešani pevski zbor Vrtojba Luka Vetrih
Vabljeni!
Org. JKSD OI Izola, KD Korte, KS Korte
",https://center-izola.si/dogodki-in-prireditve/primorska-poje-2024/,"Friday, 19. April 2024",2024-04-19T18:00:00+01:00,,Zadružni dom Korte
Festival temnega piva,"Vstopnine ni
V Izolo prihaja tretji festival temnega piva, kjer se nam bodo predstavili pivovarji iz Obalno-kraške regije.
Koncert: Pivo in čevapi, Balkan brass band
Organizator: Center za kulturo, šport in prireditve Izola
 
",,"Saturday, 20. April 2024",2024-04-20T11:00:00+01:00,2024-04-20T19:00:00+01:00,Lonka
OWF: Orange wine festival,"Orange Wine Festival (OWF) predstavlja prikaz pridelave belih vin s postopkom podaljšane maceracije. Festival se v Izoli odvije vsako leto na zadnji petek v aprilu in v mesto privabi ljubitelje vin. Izola je s festivalom postala eno najpomembnejših izložbenih oken za sonaravno pridelavo vin iz regije in zlasti za predstavitev vse širše družine vinarjev, ki pridelujejo oranžna vina. Festival se v novembru odvije tudi na sosednjem Dunaju.
",https://www.facebook.com/events/1085634549257033/?acontext=%7B%22event_action_history%22%3A[]%7D,"Friday, 26. April 2024",2024-04-26T14:00:00+01:00,2024-04-26T21:00:00+01:00,Manziolijev trg
Koncert: VAZZ,"Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Friday, 26. April 2024",2024-04-26T21:00:00+01:00,,Hangar Bar
Koncert: Alo!Stari in Zgrešeni primeri,"Organizator: Hangar Bar
Vstopnice lahko kupite na sledeči spletni povezavi: https://vstopnice.kurz.si/event/4 ali v Hangarbaru ...
Prvih 50 vstopnic kupljenih preko spleta: 12€
Predprodaja: 15€
Na dan dogodka: 20€
Praznovanje 5. obletnica nastanka ekipe in napoved novega spomladanskega albuma.
",https://www.facebook.com/izolahangarbar/,"Friday, 03. May 2024",2024-05-03T20:00:00+01:00,,Hangar Bar
Pomol okusov II,"Vstopnine ni
Sezona izolskih »street food« dogodkov se nadaljuje. Ponovno se bomo družili ob odlični kulinariki Slovenske Istre, ki bo dišala tako po morskih dobrotah kot po specialitetah istrskega podeželja. Za to da bo vaš krožnik lokalnih dobrot popoln, bodo poskrbeli tudi istrski vinarji, prav tako boste na svoj račun prišli ljubitelji lokalnega gina in craft piva, sladkosnedi pa se boste razveselili sladkih mojstrovin.
",https://www.visitizola.com/okusi/pomol-okusov#,"Saturday, 04. May 2024",,,severni pomol
Koncert: Teo Collori in Momento Cigano,"Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Friday, 10. May 2024",2024-05-10T21:00:00+01:00,,Hangar Bar
Kulinarični dnevi v izbranih gostilnah in restavracijah: Dnevi domačih pedočev,"Dnevi domačih pedočev so najbolj priljubljeni kulinarični dnevi v Izoli. Takrat izolske gostilne in restavracije preplavi vonj po najbolj priljubljenih školjkah, ki jih običajno uživamo na buzaro. Na Dnevih domačih pedočev boste imeli priložnost preizkusiti tudi druge zanimive jedi, ki jih bodo za vas skuhali izolski chefi.
Sodelujoči gostinci bodo objavljeni naknadno.
",https://www.visitizola.com/okusi/dnevi-domacih-pedocev#,"Friday, 17. May 2024 - Sunday, 02. June 2024",,,Izbrane izolske gostilne in restavracije
Koncert: Kokosy in Kavč,"Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Saturday, 18. May 2024",,,Hangar Bar
Koncert: 3 BIG BAND orchestra,"Organizator: Hangar Bar
",https://www.facebook.com/izolahangarbar/,"Saturday, 25. May 2024",2024-05-25T20:00:00+01:00,,Hangar Bar
"Praznik oljk,vina in rib","Vstopnine ni
Več informacij za 2024 sledi.
",,"Friday, 31. May 2024 - Saturday, 01. June 2024","Friday, 31. May 2024 - Saturday, 01. June 2024T19:00:00+01:00","Friday, 31. May 2024 - Saturday, 01. June 2024T00:00:00+01:00",Manziolijev trg in Ljubljanska ulica
