Title,Description,Link,Date,StartDate,EndDate,Location
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.
Vabljeni!

Foto: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960 (levo), Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022 (desno)

Več: info@loski-muzej.si, 04 517 04 00
",,5. marec 2024,,,"Škofja Loka
Okrogli stolp, Loški muzej Škofja Loka"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,"Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik. Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848

Več: Loški muzej, info@loski-muzej.si, 04 517 04 00
",,5. marec 2024,,,"Škofja Loka
Galerija na gradu, Loški Muzej Škofja Loka"
Slikarska razstava – Irena Tratnik: KORAK ZA KORAKOM PO POTI ŽELJA,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
",,5. marec 2024,,,"Gorenja vas - Poljane
Krajevna knjižnica Gorenja vas"
"V začetku je bila beseda, razstava portretov","Več: Knjižnica
Ivana Tavčarja Škofja Loka, Tatjana
Bertoncelj, 04 510 14 90
",,5. marec 2024,,,"Železniki
Krajevna knjižnica Železniki"
»Lepe pozdrave!« - Razstava  razglednic slikarja Simona Šubica Svetleta,"Simona Šubica, z umetniškim imenom Svetle, upokojenega čevljarja
in slikarja samouka, poznamo kot vsestranskega ustvarjalca že desetletja.

Več: Knjižnica
Ivana Tavčarja Škofja Loka, 04 51 51 390, trata@knjiznica-skofjaloka.si
",,5. marec 2024,,,"Škofja Loka
Krajevna knjižnica Trata"
Slikanje s kavo,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, Saša
Ambrožič, 04 511 25 00
",,5. marec 2024,,,"Škofja Loka
Knjižnica Ivana Tavčarja Škofja Loka"
"Andrej Karlin - duhovnik in škof, ki je zaznamoval tri škofije","Razstava je na ogled do velike noči, 31. 3. 2024, vsak dan po sveti maši. Urnik svetih maš je na voljo na povezavi: https://zupnija-staraloka.si/index.php/content/display/85/20/20Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com

Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com
",,5. marec 2024,,,"Škofja Loka
Cerkev sv. Jurija, Stara Loka"
Začetni tečaj klekljanja,"
Več: Tanja Mlinar, 040 425 120
",,5. marec 2024,5. marec 2024---16:00 do 18:30,,"Žiri
Krajevna Knjižnica Žiri"
Odkritje spominske plošče tragično umrlemu Maistrovemu borcu 1918-1919 Francu Koširju (1896-1919),"Občina Škofja Loka, Zveza društev general Maister Slovenije in Domoljubno društvo general Rudolf Maister Žiri organizirajo v torek, 5. marca 2024, ob 16. uri svečano
odkritje spominske plošče tragično umrlemu Maistrovemu borcu 1918-1919 Francu
Koširju (1896-1919).

Odkritje spominske plošče bo potekalo z vojaškimi častmi ob
105-ti obletnici njegove smrti, pred njegovo rojstno hišo v Sp. Luši 10
(domačija Pri Ambrušču). Slavnostni govornik bo župan občine Škofja Loka gospod Tine
Radinja.


V kulturnem programu sodelujejo člani Mestnega pihalnega
orkestra Škofja Loka, tenorist Anton Habjan in učenci OŠ Ivana Groharja iz
Škofje Loke. Vljudno vabljeni!
Več: Janez Jereb, 041 421 919


",,5. marec 2024,5. marec 2024---16:00,,"Škofja Loka
Sp. Luša 10 (domačija Pri Ambrušču)"
8. Glasbeni vrtiljak,"Vabimo vas na javni nastop učenk in učencev
Glasbene šole Škofja Loka. Prisluhnili boste različnim glasbenim inštrumentom
in pestremu glasbenemu programu iz različnih glasbenih obdobij. Vljudno
vabljeni. 
Več: Liljana Poklukar Herman, 064 147 147, pomocnik@gsskofjaloka.si
",,5. marec 2024,5. marec 2024---18:00,,"Škofja Loka
Kapela Puštalskega gradu"
Bralni klub KNJIGOSNEDKE,"Več: Knjižnica Ivana Tavčarja Škofja Loka, trata@knjiznica-skofjaloka.si
",,5. marec 2024,5. marec 2024---18:30,,"Škofja Loka
Krajevna knjižnica Trata"
"Ura pravljic in delavnica za otroke z avtorico slikanice Tonka, sladka lizika","Več: Knjižnica
Ivana Tavčarja Škofja Loka, info@knjiznica-skofjaloka.si, 04 511 25 00, 051 672 367
",,5. marec 2024,5. marec 2024---17:00,,"Škofja Loka
Mladinski oddelek knjižnice Ivana Tavčarja Škofja Loka"
Razgibajmo možgančke z DC in DCM,"Reševanje kviza, ugank za
zaključeno skupino otrok iz DC in DCM.
Več:  Knjižnica Ivana Tavčarja Škofja Loka in DC, DCM, Mateja
Müllner
",,5. marec 2024,5. marec 2024---16:00,,"Škofja Loka
Mladinski oddelek Knjižnice Ivana Tavčarja Škofja Loka"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.
Vabljeni!

Foto: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960 (levo), Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022 (desno)

Več: info@loski-muzej.si, 04 517 04 00
",,6. marec 2024,,,"Škofja Loka
Okrogli stolp, Loški muzej Škofja Loka"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,"Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik. Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848

Več: Loški muzej, info@loski-muzej.si, 04 517 04 00
",,6. marec 2024,,,"Škofja Loka
Galerija na gradu, Loški Muzej Škofja Loka"
Slikarska razstava – Irena Tratnik: KORAK ZA KORAKOM PO POTI ŽELJA,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
",,6. marec 2024,,,"Gorenja vas - Poljane
Krajevna knjižnica Gorenja vas"
"V začetku je bila beseda, razstava portretov","Več: Knjižnica
Ivana Tavčarja Škofja Loka, Tatjana
Bertoncelj, 04 510 14 90
",,6. marec 2024,,,"Železniki
Krajevna knjižnica Železniki"
»Lepe pozdrave!« - Razstava  razglednic slikarja Simona Šubica Svetleta,"Simona Šubica, z umetniškim imenom Svetle, upokojenega čevljarja
in slikarja samouka, poznamo kot vsestranskega ustvarjalca že desetletja.

Več: Knjižnica
Ivana Tavčarja Škofja Loka, 04 51 51 390, trata@knjiznica-skofjaloka.si
",,6. marec 2024,,,"Škofja Loka
Krajevna knjižnica Trata"
Slikanje s kavo,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, Saša
Ambrožič, 04 511 25 00
",,6. marec 2024,,,"Škofja Loka
Knjižnica Ivana Tavčarja Škofja Loka"
"Andrej Karlin - duhovnik in škof, ki je zaznamoval tri škofije","Razstava je na ogled do velike noči, 31. 3. 2024, vsak dan po sveti maši. Urnik svetih maš je na voljo na povezavi: https://zupnija-staraloka.si/index.php/content/display/85/20/20Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com

Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com
",,6. marec 2024,,,"Škofja Loka
Cerkev sv. Jurija, Stara Loka"
Ura pravljic - predstava POŽREŠNA GOSENICA,"Predstavo in delavnico pripravljamo v sodelovanju z
vzgojiteljicami Antonovega vrtca.
Več: zelezniki@knjiznica-skofjaloka.si
04 510 14 90, 041 442 075
",,6. marec 2024,6. marec 2024---17.00,,"Železniki
Krajevna knjižnica  Železniki"
Šah v knjižnici,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, 04 51 51 390, trata@knjiznica-skofjaloka.si
",,6. marec 2024,6. marec 2024---17:00-19:00,,"Škofja Loka
Krajevna knjižnica Trata"
"Prva pomoč- znanje, ki lahko reši življenje","V okviru »Srečevalnice«
nam bo dr. Damjan Slabe osvežil znanje iz prve pomoči.

Preživetje osebe v
srčnem zastoju je odvisno od več dejavnikov, zlasti pa od čim hitrejšega
učinkovitega izvajanja temeljnih postopkov oživljanja. Takojšnje oživljanje
namreč lahko podvoji ali potroji možnost preživetja. Še tako dobro organizirana
zdravstvena služba ne more biti v trenutku nezgode, nesreče ali nenadnega
obolenja na kraju dogodka, zato je znanje prve pomoči očividcev še kako
pomembno. Na tokratni predstavitveni delavnici bomo z izvajalcem dr. Damjanom
Slabetom obnovili zanje naslednjih ključnih ukrepov prve pomoči:

- Temeljne postopke
oživljanja odraslega z uporabo AED-ja
- Ukrepe prve pomoči
pri:
- zapori dihalne
poti zaradi tujka
- akutni možganski
kapi
- hudi prsni
bolečini
- pri alergijskem
odzivu.
Več: Knjižnica
Ivana Tavčarja Škofja Loka, info@knjiznica-skofjaloka.si, 04 511 25 00, 051 672 367
",,6. marec 2024,6. marec 2024---9:30-11:00,,"Škofja Loka
Mladinski oddelek knjižnice Ivana Tavčarja Škofja Loka"
Dnevi Škofjeloškega pasijona 2024 - Koncert duhovniškega okteta Oremus,"Duhovniški oktet novomeške in ljubljanske škofije Oremus deluje že od leta 2006 in ga sestavlja po novem devet duhovnikov - sedem župnikov, en veroučitelj v Škofovih zavodih in en voditelj pastorale za mladino v Cerkvi na Slovenskem. Umetniška vodja in dirigentka pa je prof. Damijana Božič Močnik.
Tokrat se bodo predstavili s postnimi pesmimi.Več: Župnija Sveti duh pri Škofji Loki, Darija Jamnik, 031 752 669, darija.jamnik@gmail.com; Zavod 973, ema.nunar@zavod973.si
Več: Župnija Sveti duh pri Škofji Loki, Darija Jamnik, 031 752 669, darija.jamnik@gmail.com; Zavod 973, ema.nunar@zavod973.si
",,6. marec 2024,6. marec 2024---18:00,,"Škofja Loka
Župnijska cerkev sv. Urha v Žabnici"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.
Vabljeni!

Foto: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960 (levo), Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022 (desno)

Več: info@loski-muzej.si, 04 517 04 00
",,7. marec 2024,,,"Škofja Loka
Okrogli stolp, Loški muzej Škofja Loka"
Dolgo 19. stoletje: Škofja Loka od leta 1803 do 1914,"Razstava skozi izbrana poglavja prikazuje utrip življenja in razvoj Škofje Loke, Selške in Poljanske doline z Žirmi od leta 1803, ko je bilo Loško gospostvo podržavljeno, do leta 1914, ko se je začela prva svetovna vojna. Posamezni tematski sklopi se med sabo prepletajo in so umeščeni v širši kontekst velikih zgodovinskih prelomnic avstrijske monarhije, evropskega prostora in nenazadnje sveta.
»Dolgo 19. stoletje« na Loškem je tako zaobjeto s predstavitvijo upravnih sprememb v Ilirskih provincah in avstrijski monarhiji, kulta cesarja, velike revolucije imenovane 'pomlad narodov', društvenega življenja, izzivov na kmetijskem in gospodarskem področju, delovanja šolstva in zdravstva, naravnih katastrof ter vsakdanjega življenja, ki je bilo neločljivo prepleteno s cerkvenim koledarjem in prazniki.

V prizadevanjih za povečevanje dostopnosti razstavnih vsebin, so besedila prevedena v lahko branje in brajico, video vsebine podnaslovljene, posebej označeni predmeti pa so na voljo za dotik. Vabljeni!

Foto: Veduta Škofje Loke, Wagnerjeve vedute Kranjske, 1842–1848

Več: Loški muzej, info@loski-muzej.si, 04 517 04 00
",,7. marec 2024,,,"Škofja Loka
Galerija na gradu, Loški Muzej Škofja Loka"
Slikarska razstava – Irena Tratnik: KORAK ZA KORAKOM PO POTI ŽELJA,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, gorenjavas@knjiznica-skofjaloka.si, 04 510 71 00, 041 442 095
",,7. marec 2024,,,"Gorenja vas - Poljane
Krajevna knjižnica Gorenja vas"
LEGO ROBOTIKA za osnovnošolce,"Vabljeni na celoletni tečaj lego robotike za osnovnošolce.
Na tečaju se bodo učenci naučili programirati na zabaven in praktičen način.
Mlajši učenci bodo gradili in spoznali, kako delujejo mehanske naprave. Obvezne prijave. Več na: https://stiri.si/
Termini od:  14.45 do 16.15; od 16.30 do 18.00; od 18.15 do
19.45.
Več: Inštitut 4.0, Tilen, 040 331 881
",,7. marec 2024,7. marec 2024---Po urniku,,"Škofja Loka
Mladinski oddelek Knjižnice Ivana Tavčarja Škofja Loka"
"V začetku je bila beseda, razstava portretov","Več: Knjižnica
Ivana Tavčarja Škofja Loka, Tatjana
Bertoncelj, 04 510 14 90
",,7. marec 2024,,,"Železniki
Krajevna knjižnica Železniki"
»Lepe pozdrave!« - Razstava  razglednic slikarja Simona Šubica Svetleta,"Simona Šubica, z umetniškim imenom Svetle, upokojenega čevljarja
in slikarja samouka, poznamo kot vsestranskega ustvarjalca že desetletja.

Več: Knjižnica
Ivana Tavčarja Škofja Loka, 04 51 51 390, trata@knjiznica-skofjaloka.si
",,7. marec 2024,,,"Škofja Loka
Krajevna knjižnica Trata"
Slikanje s kavo,"Več: Knjižnica
Ivana Tavčarja Škofja Loka, Saša
Ambrožič, 04 511 25 00
",,7. marec 2024,,,"Škofja Loka
Knjižnica Ivana Tavčarja Škofja Loka"
"Andrej Karlin - duhovnik in škof, ki je zaznamoval tri škofije","Razstava je na ogled do velike noči, 31. 3. 2024, vsak dan po sveti maši. Urnik svetih maš je na voljo na povezavi: https://zupnija-staraloka.si/index.php/content/display/85/20/20Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com

Več: Klemen Karlin, 031 360 369, klemen.karlin@gmail.com
",,7. marec 2024,,,"Škofja Loka
Cerkev sv. Jurija, Stara Loka"
Osrednja občinska prireditev ob mednarodnem dnevu žensk,"Ob mednarodnem dnevu
žensk vas Občina Škofja Loka in Osnovna šola Ivana Groharja vabita na osrednjo
občinsko prireditev z naslovom Veličastne.
Obraze tistih, ki
postavljajo smerokaze, bomo odkrili v četrtek, 7. marca 2024, ob 18.00 v
Sokolskem domu Škofja Loka.
Slavnostna govornica bo
gospa Miriam Možgan, svetovalka predsednice republike Slovenije za zunanjo
politiko.
Več: Pia Pivk,
pia.pivk@zavod973.si
",,7. marec 2024,7. marec 2024---18:00,,"Škofja Loka
Sokolski dom Škofja Loka"
Območno srečanje otroških gledaliških skupin 2024,"Več: JSKD
Škofja Loka, Aldo Komar, oi.skofja.loka@jskd.si
",,7. marec 2024,7. marec 2024---10:00,,"Škofja Loka
Loški oder"
BEREMO S KUŽKOM,"Delavnica Beremo s kužkom poteka v družbi psa, ki se mu pridružijo
otroci. Na začetku se otroci spoznajo s psom, tako da pristopijo k njemu, ga
pobožajo, mu dajo priboljšek. Velik del delavnice predstavlja branje kužku,
običajno pa na delavnici ostane tudi čas za igro s psom. Knjižničarka pripravi
primerne pravljice, ki jih lahko otroci izberejo in preberejo kužku, pripravi
tudi poučne knjige o psih, njihovih značilnostih, pasmah in vzgoji, ki si jih
otroci lahko izposodijo.
 Delavnica je namenjena otrokom starim od 7. leta dalje, ki imajo bralne
težave ali pa si želijo bolje spoznati navade in kvalitete psov. Nekateri
otroci pridejo z namenom, da premagajo strah pred temi živalmi.
Delavnico vodi prostovoljka Nika iz društva Ambasadorji nasmeha. 
04 510 14 90, 041 442 075
",,7. marec 2024,7. marec 2024---17.00,,"Železniki
Krajevna knjižnica  Železniki"
BRANKA – skupina za glasno branje,"Skupina za glasno branje Branka deluje že tretje leto
in se druži dvakrat na mesec. Vabimo vas, da se nam pridružite. Ker gre za
odprto skupino, se na srečanja ni treba prijaviti. Dovolj je, da pridete in ste
zraven.

Več: Knjižnica Ivana Tavčarja Škofja Loka, Anja Eržen, drustvograble@gmail.com
",,7. marec 2024,7. marec 2024---18:00,,"Škofja Loka
Krajevna Knjižnica Trata"
"Ophéliejino odkrivanje Škofje Loke skozi oči Toneta Mlakarja, razstava fotografij mesta med letoma 1950 in 1970 in leta 2022","Razstava predstavlja podobe škofjeloške stavbne in urbanistične kulturne dediščine nekoč in danes. Vključuje nabor fotografij iz arhiva Toneta Mlakarja, ki je več kot pet desetletij beležil kroniko Škofje Loke, njene arhitekture in prebivalcev, urbane in podeželske kulturne krajine. Barvne fotografije na razstavi je posnela Ophélie Chapuis iz Francije, študentka umetnostne zgodovine, kulturnega posredovanja in kuriranja razstav na Univerzi v Toursu, ki je bila prostovoljka v okviru Zavoda O v Škofji Loki. V tem času je delala tudi v Loškem muzeju, kjer sta ji nekdanji vodja projektov Branka Gradišar in kustosinja Nina Misson predlagali, da med digitaliziranjem arhiva Toneta Mlakarja pripravi izbor fotografij Škofje Loke in izbrane fotografije tudi sama poustvari. V muzeju smo želeli s tem hkrati spodbuditi drugačne načine raziskovanja stavbne dediščine Škofje Loke: Ophélie Chapuis, le kratek čas živeča v Loki, tako rekoč turistka, se je odpravila po mestnih ulicah v iskanju zgodovine, ki jo je v objektiv ujel Tone Mlakar.
Vabljeni!

Foto: Tone Mlakar, Cerkev Marije Brezmadežne, ok. 1960 (levo), Ophélie Chapuis, Cerkev Marije Brezmadežne, 2022 (desno)

Več: info@loski-muzej.si, 04 517 04 00
",,8. marec 2024,,,"Škofja Loka
Okrogli stolp, Loški muzej Škofja Loka"
