Eventname,Date,Location,Link
Mednarodni odprt šahovski turnir 28. Hit open 2024,"

					26.01.2024 - 02.02.2024
				 
","

						Hotel Perla, dvorana Pinta
					",/sl/koledar-dogodkov/2024-01-26/2024011909451708/mednarodni-odprt-sahovski-turnir-28-hit-open-2024/
Obeležitev rojstva slovenskega kulturnega praznika,"

					01.02.2024
				 

					19:00
												","

						grajska klet, Vipavski Križ
					",/sl/koledar-dogodkov/2024-02-01/2024011614141718/obelezitev-rojstva-slovenskega-kulturnega-praznika/
Slovesnost ob slovenskem kulturnem prazniku »V ISKANJU NAVDIHA«,"

					01.02.2024
				 

					19:00
												","

						Velika dvorana Kulturnega doma Nova Gorica
					",/sl/koledar-dogodkov/2024-02-01/2024012610015516/slovesnost-ob-slovenskem-kulturnem-prazniku--»v-iskanju-navdiha«/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Razstava Mozaik 2024,"

					13.01.2024 - 03.02.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					",/sl/koledar-dogodkov/2024-01-13/2024010909131181/razstava-mozaik-2024/
Mednarodni odprt šahovski turnir 28. Hit open 2024,"

					26.01.2024 - 02.02.2024
				 
","

						Hotel Perla, dvorana Pinta
					",/sl/koledar-dogodkov/2024-01-26/2024011909451708/mednarodni-odprt-sahovski-turnir-28-hit-open-2024/
Larin abonma: pogovorni večer s Ferijem Lainščkom,"

					02.02.2024
				 

					19:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-02-02/2023091915365910/larin-abonma:-pogovorni-vecer-s-ferijem-lainsckom/
Park Wine Stars,"

					02.02.2024
				 

					19:00
												","

						Park, Hotel  &amp; Entertainment, Nova Gorica
					",/sl/koledar-dogodkov/2024-02-02/2023121913445793/park-wine-stars/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Razstava Mozaik 2024,"

					13.01.2024 - 03.02.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					",/sl/koledar-dogodkov/2024-01-13/2024010909131181/razstava-mozaik-2024/
Zadnje vodstvo po razstavi filmskih plakatov,"

					03.02.2024
				 

					16:00
												","

						Vila Bartolomei, Solkan 
					",/sl/koledar-dogodkov/2024-02-03/2024012418043990/zadnje-vodstvo-po-razstavi-filmskih-plakatov/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Razstava Mozaik 2024,"

					13.01.2024 - 03.02.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					",/sl/koledar-dogodkov/2024-01-13/2024010909131181/razstava-mozaik-2024/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slovenski kulturni praznik na Osnovni šoli Col,"

					06.02.2024
				 

					18:00
												","

						telovadnica OŠ Col
					",/sl/koledar-dogodkov/2024-02-06/2024012315285846/slovenski-kulturni-praznik-na-osnovni-soli-col/
Predavanje: Rak kože: Razumevanje in preprečevanje,"

					06.02.2024
				 

					18:00
												","

						Ljudska univerza Ajdovščina
					",/sl/koledar-dogodkov/2024-02-06/2024012315300745/predavanje:-rak-koze:-razumevanje-in-preprecevanje/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Brezplačen program za mlade: Fotografija (15–18 let),"

					07.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-02-07/2024010508283326/brezplacen-program-za-mlade:-fotografija-15–18-let/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
"Veliko KAŠevo pustovanje: Vlado Kreslin, Zvita feltna, Ansambel Stil, Zelene gartrože","

					09.02.2024
				 

					20:00
												","

						Klet Vipava 1894
					","/sl/koledar-dogodkov/2024-02-09/2024010510091203/veliko-kasevo-pustovanje:-vlado-kreslin,-zvita-feltna,-ansambel-stil,-zelene-gartroze/"
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
"Komedija: Avdicija, ekipa 2","

					13.02.2024
				 

					20:00
													- 21:40
								","

						Dvorana prve slovenske vlade Ajdovščina
					","/sl/koledar-dogodkov/2024-02-13/2024011808234511/komedija:-avdicija,-ekipa-2/"
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
"Predavanje: Psihologija uspeha, 6. del","

					14.02.2024
				 

					18:00
												","

						dvorana KS Renče
					","/sl/koledar-dogodkov/2024-02-14/2024012212401328/predavanje:-psihologija-uspeha,-6-del/"
Slikarska razstava Zoje Makovec: Utrip narave,"

					12.01.2024 - 14.02.2024
				 
","

						MKC Hiša mladih Ajdovščina
					",/sl/koledar-dogodkov/2024-01-12/2024010508230848/slikarska-razstava-zoje-makovec:-utrip-narave/
Komedija: Vaja zbora,"

					24.02.2024
				 

					19:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-02-24/2024012315313625/komedija:-vaja-zbora/
"Bumbarji, muzikal Slovenskega dijaškega doma Simona Gregorčiča v Gorici","

					25.02.2024
				 

					20:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					","/sl/koledar-dogodkov/2024-02-25/2024011808261730/bumbarji,-muzikal-slovenskega-dijaskega-doma-simona-gregorcica-v-gorici/"
Larin abonma: Pesem za Laro – ujetnica časa,"

					15.03.2024
				 

					19:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-03-15/2023091915382078/larin-abonma:-pesem-za-laro-–-ujetnica-casa/
Koncert: Dejan Vunjak in Brendijeve barabe,"

					22.03.2024
				 

					19:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-03-22/2023122113484881/koncert:-dejan-vunjak-in-brendijeve-barabe/
Komedija: Večerja bedakov,"

					03.04.2024
				 

					20:00
													- 21:50
								","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-04-03/2023120110061944/komedija:-vecerja-bedakov/
Siddharta: Prepovedana turneja,"

					13.04.2024
				 

					20:00
												","

						Športni center Hit, Šempeter pri Gorici
					",/sl/koledar-dogodkov/2024-04-13/2023120114320133/siddharta:-prepovedana-turneja/
Gledališka predstava: Da me je strah,"

					18.04.2024
				 

					20:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-04-18/2023100215570468/gledaliska-predstava:-da-me-je-strah/
"Larin abonma: koncert V dvoje: Nuška Drašček, Marko Hatlak","

					19.04.2024
				 

					19:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					","/sl/koledar-dogodkov/2024-04-19/2023091915393151/larin-abonma:-koncert-v-dvoje:-nuska-drascek,-marko-hatlak/"
UTVV – Ultra Trail Vipava Valley,"

					26.04.2024 - 28.04.2024
				 
","

						Vipavska dolina
					",/sl/koledar-dogodkov/2024-04-26/2024011211470952/utvv-–-ultra-trail-vipava-valley/
UTVV – Ultra Trail Vipava Valley,"

					26.04.2024 - 28.04.2024
				 
","

						Vipavska dolina
					",/sl/koledar-dogodkov/2024-04-26/2024011211470952/utvv-–-ultra-trail-vipava-valley/
UTVV – Ultra Trail Vipava Valley,"

					26.04.2024 - 28.04.2024
				 
","

						Vipavska dolina
					",/sl/koledar-dogodkov/2024-04-26/2024011211470952/utvv-–-ultra-trail-vipava-valley/
Larin abonma: Prifarski muzikanti,"

					24.05.2024
				 

					19:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					",/sl/koledar-dogodkov/2024-05-24/2023091915404692/larin-abonma:-prifarski-muzikanti/
