Title,Details,InfoLinks,LinkToPage,Date
Gepack ??? pogovor,"
2024-02-01T00:00:00+01:00
2024-02-02T00:00:00+01:00
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,,"četrtek, 1. februar 2024"
Dejan Vunjak in Brendijeve barabe,"
2024-02-02T00:00:00+01:00
 Kulturni center Laško Laško",https://dogodki.kulturnik.si/?where=Kulturni%20center%20La%C5%A1ko-https://dogodki.kulturnik.si/?where=La%C5%A1ko,https://www.facebook.com/photo/?fbid=920118012808010&set=a.343441213809029,"petek, 2. februar 2024"
Kurentovanje,"
2024-02-03T00:00:00+01:00
2024-02-14T00:00:00+01:00
 Ptuj",https://dogodki.kulturnik.si/?where=Ptuj,http://www.kurentovanje.net,"sobota, 3. februar 2024"
Škrt škrt kra čof!,"
Sun Feb 04 2024 11:00:00 GMT+0100 (Central European Standard Time)
 Oder pod zvezdami LGL Ljubljana",https://dogodki.kulturnik.si/?where=Oder%20pod%20zvezdami%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,http://www.lgl.si/si/predstave/vse-predstave/736-Skrt-skrt-kra-cof,"nedelja, 4. februar 2024"
Interesno območje,"
Mon Feb 05 2024 16:30:00 GMT+0100 (Central European Standard Time)
Mon Feb 05 2024 18:16:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.kinodvor.org/film/interesno-obmocje/,"ponedeljek, 5. februar 2024"
"Bela golobica: čudežna zgodba (120', biografska pustolovska drama)","
Tue Feb 06 2024 09:00:00 GMT+0100 (Central European Standard Time)
Tue Feb 06 2024 11:00:00 GMT+0100 (Central European Standard Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,,"torek, 6. februar 2024"
Popolni dnevi,"
Wed Feb 07 2024 13:00:00 GMT+0100 (Central European Standard Time)
Wed Feb 07 2024 15:04:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.kinodvor.org/film/popolni-dnevi/,"sreda, 7. februar 2024"
Brezplačni vodenji po fotografski razstavi Slovenski punk in fotografija,"
Thu Feb 08 2024 00:00:00 GMT+0100 (Central European Standard Time)
Thu Feb 08 2024 23:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Galerija CD Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Galerija%20CD-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/razstave/brezplacni-vodenji-po-fotografski-razstavi-slovenski-punk-in-fotografija,"četrtek, 8. februar 2024"
Škrt škrt kra čof!,"
Sun Feb 04 2024 11:00:00 GMT+0100 (Central European Standard Time)
 Oder pod zvezdami LGL Ljubljana",https://dogodki.kulturnik.si/?where=Oder%20pod%20zvezdami%20LGL-https://dogodki.kulturnik.si/?where=Ljubljana,http://www.lgl.si/si/predstave/vse-predstave/736-Skrt-skrt-kra-cof,"nedelja, 4. februar 2024"
Interesno območje,"
Mon Feb 05 2024 16:30:00 GMT+0100 (Central European Standard Time)
Mon Feb 05 2024 18:16:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.kinodvor.org/film/interesno-obmocje/,"ponedeljek, 5. februar 2024"
"Bela golobica: čudežna zgodba (120', biografska pustolovska drama)","
Tue Feb 06 2024 09:00:00 GMT+0100 (Central European Standard Time)
Tue Feb 06 2024 11:00:00 GMT+0100 (Central European Standard Time)
 Kino Delavski Dom Trbovlje Trbovlje",https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje-https://dogodki.kulturnik.si/?where=Trbovlje,,"torek, 6. februar 2024"
Popolni dnevi,"
Wed Feb 07 2024 13:00:00 GMT+0100 (Central European Standard Time)
Wed Feb 07 2024 15:04:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.kinodvor.org/film/popolni-dnevi/,"sreda, 7. februar 2024"
Brezplačni vodenji po fotografski razstavi Slovenski punk in fotografija,"
Thu Feb 08 2024 00:00:00 GMT+0100 (Central European Standard Time)
Thu Feb 08 2024 23:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Galerija CD Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Galerija%20CD-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/razstave/brezplacni-vodenji-po-fotografski-razstavi-slovenski-punk-in-fotografija,"četrtek, 8. februar 2024"
Dnevi komedije,"
Fri Feb 09 2024 00:00:00 GMT+0100 (Central European Standard Time)
Mon Feb 26 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Celje",https://dogodki.kulturnik.si/?where=Celje,http://www.slg-ce.si/domov/dnevi-komedije,"petek, 9. februar 2024"
Pajkovi: Dojenčica in Karneval,"
Sat Feb 10 2024 10:00:00 GMT+0100 (Central European Standard Time)
Sat Feb 10 2024 10:22:00 GMT+0100 (Central European Standard Time)
 Kinodvor dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.kinodvor.org/film/pajkovi-dojencica-in-karneval/,"sobota, 10. februar 2024"
Ansambel Saša Avsenika,"
Sun Feb 11 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Cerknica",https://dogodki.kulturnik.si/?where=Cerknica,https://www.facebook.com/events/310879048509259/,"nedelja, 11. februar 2024"
