Title,Details,Maplink,Description,Link
32. Gradovi kralja Matjaža,"  Datum: 26. 01. 2024 ob 00:13 - 28. 01. 2024 ob 23:13
  Kraj: Črna na Koroškem 
  Tip: Kulturne prireditve, Zabavne prireditve, Ostale prireditve
  Kontakt: tic@crna.si 
","https://www.google.com/maps/dir/Current+Location/46.4682,14.8439","
Poznate legendo o kralju Matjažu? Kralj Matjaž pod Peco se še vedno ni prebudil. V njegovo čast mu na na Matevžavih travnikih v Črni na Koroškem že več kot četrt stoletja gradijo snežne gradove. Zadnji vikend v januarju se zberejo navdušenci od blizu in daleč ter se pomerijo v gradnji snežnih gradov. Osrednji del prireditve predstavlja tekmovanje ekip v gradnji snežnih gradov in to vse od jutra do sončnega zahoda, ko sledi še zabava.
 Poznate legendo o kralju Matjažu? Kralj Matjaž pod Peco se še vedno ni prebudil. V njegovo čast mu na na Matevžavih travnikih v Črni na Koroškem že več kot četrt stoletja gradijo snežne gradove. Zadnji vikend v januarju se zberejo navdušenci od blizu in daleč ter se pomerijo v gradnji snežnih gradov. Osrednji del prireditve predstavlja tekmovanje ekip v gradnji snežnih gradov in to vse od jutra do sončnega zahoda, ko sledi še zabava. 32. prireditev njegovemu visočanstvu v čast bo potekala v času med 26. 1. in 28. 1. 2024. Tridnevno dogajanje se prične v petek zvečer, ko na smučišču v Črni na Koroškem poteka nočni slalom med baklami, za pokal kralja Matjaža. Osrednji dogodek prireditve je sobotno tekmovanje ekip v gradnji snežnih gradov in snežnih skulptur tematsko sorodnih legendi kralja Matjaža. Celodnevno gradnjo vsako leto spremlja pester zabavno kulturni program (predstavitev ekip, izbor Alenčice, prižiganje bakel in sveč, ognjena predstava, svečani prihod kralja Matjaža, podelitev nagrad najboljšim ekipam, glasbeni nastopi na pravi koroški gavdi). S prižiganjem bakel in razglasitvijo najlepših gradov doživi celodnevno pravljično dogajanje zvečer svoj vrhunec, ob soju plamenic snežni gradovi dodatno zažarijo. Nedelja je namenjena otrokom, za katere pripravimo zanimive otroške animacije, lutkovne predstave, iskanje skritega zaklada, možnost jahanja in druge zabavne otroške aktivnosti. V nedeljo se podelijo nagrade za najboljša likovna in literarna dela na temo kralja Matjaža, ki so jih ustvarjali učenci slovenskih osnovnih šol.",https://www.crna.si/gradovi_obrazec/
Kurentovanje na Ptuju 2024,"  Datum: 03. 02. 2024 - 13. 02. 2024 
  Kraj: Ptuj, staro mestno jedro Ptuja 
  Tip: Kulturne prireditve, Etnološke prireditve, Zabavne prireditve
  Kontakt: 02 779 60 11 info@kurentovanje.net 
","https://www.google.com/maps/dir/Current+Location/46.4197,15.8719","
Kurentovanje se tradicionalno pričenja s Kurentovim skokom, osrednji program 2023 pa poteka od 11. do 21. 2. 2023.
 
 Kurentovanje se tradicionalno pričenja s Kurentovim skokom, osrednji program 2023 pa poteka od 11. do 21. 2. 2023.   3.–13. februar 2024 Obiščite Ptuj pozimi, ko ta postane največji etnografski muzej nesnovne kulturne dediščine na prostem. Kurentovanje se tradicionalno pričenja s kurentovim skokom, osrednji program 64. Kurentovanja 2024 pa poteka od 3. do 13. 2. 2024.  KURENTOV/KORANTOV SKOK
Petek, 2. februar
Začetek pustnega časa naznanja še posebno mističen dogodek. Ob polnoči in ob soju ognja si kurenti prvič nadenejo zvonce ter z glasnim zvonjenjem pričnejo odganjati zimo in zlo. OTVORITVENA ETNO POVORKA
Sobota, 3. februar, 11.00
Ne zamudite edinstvenega etnografskega doživetja, ki ponuja dragocen vpogled v slikovite pustne navade od blizu in daleč. Na ptujskih ulicah in trgih vam bodo delali družbo številni tradicionalni pustni liki, kot so kurenti, kopjaši, cigani, orači, ruse, piceki, medvedi in še kdo.
Med povorko se bo odvila tudi predaja oblasti. Po povorki se nam pridružite na zabavi z glasbeno skupino ter na Pustnem ringarajanju. DAN KURENTOVIH IN KORANTOVIH SKUPIN
Sreda, 7. februar, 19.00, Mestni trg
Med Kurentovanjem je sreda vsako leto rezervirana za Dan kurentovih in korantovih skupin. Mestni trg bo preplavilo na stotine rogatih in pernatih kurentov/korantov.
Organizator dogodka: Zavod za turizem Ptuj, podpora pri organizaciji: Zveza društev kurentov SOBOTNI PUSTNI KORZO
Sobota, 10. februar, 11.00, Mestni trg
Pustovanje je zakoreninjeno v življenje mesta Ptuj. Nadenite si pustno opravo in se pridružite sprehodu z meščani, Rimljani, srednjeveškimi trgovci, mnogimi drugimi pustnimi liki in seveda kurenti. OTROŠKO PUSTNO RAJANJE
Sobota, 10. februar, 15.00, Mestni trg
Vse otroke vabimo v mesto, da se pridružite otroškemu pustnemu rajanju v maskah. NOČNI SPEKTAKEL
Sobota, 10. februar, 17.00, Mestni trg
Krampusi, kurenti in koranti
Noč ima svojo moč – tudi za pusta! Na karnevalsko okrašene ulice Ptuja bo privabila številne skrivnostne like in pričarala spektakularno igro teme ter svetlobe. Obljubljamo pa vam tudi nepozabno ognjeno-glasbeno doživetje. MEDNARODNA KARNEVALSKA POVORKA
Nedelja, 11. februar, 13.00
Že danes si rezervirajte čas za vrhunec Kurentovanja! Ptujske ulice in trge bo preplavil sprevod več tisoč karnevalskih mask ter tradicionalnih likov, ki bodo pripovedovali zgodbe o preteklosti, prihodnosti in današnjem času.
Po povorki sledita zabava z glasbeno skupino ter Pustno ringarajanje. POVORKA OTROK IZ VRTCEV
Ponedeljek, 12. februar, 10.00, Mestni trg
Otroška pustna povorka v soorganizaciji z Vrtcem Ptuj, ki se je udeležijo otroci II. starostnega obdobja iz celotne Slovenije in po ulicah najstarejšega slovenskega mesta prebujajo pomlad. SPOZNAJTE AVTOHTONE PUSTNE LIKE IN MASKE
4., 5., 6., 8., 9. in 12. februar, 18.00, Mestni trg
Ptuj je prestolnica etnografije, kjer lahko v intimnem vzdušju spoznate tradicionalne pustne like. Ob večerih jih lahko vidite v osrčju najstarejšega slovenskega mesta. PUSTNA RINGARAJANJA
3., 4., 5., 6., 8., 9., 11., 12. februar, 17.00-18.00, Mestni trg
Pustne zabave in animacije za otroke bodo poskrbele, da bodo tudi najmlajši uživali v pustnem vzdušju. PUSTNI TOREK IN POKOP PUSTA
Torek, 13. februar, 13.00, Mestni trg in staro mestno jedro
Na Ptuju je slovo od pusta še posebej praznično. Opoldne odložimo delo in se pridružimo zabavam v mestu ter njegovih lokalih. Tudi vi se pridružite edinstvenemu urbanemu pustovanju, ki se rado zavleče v pozne večerne ure.
Za zabavo bo skrbel DJ. Predaja oblasti s pokopom pusta se odvije ob 13.00. Za več informacij spremljajte spletno stran www.kurentovanje.net ter naše družbene kanale na Facebooku Kurentovanje in Visit Ptuj ter Instagramu Kurentovanje in Visit Ptuj.",https://visitptuj.eu/dozivite-ptuj/aktualni-dogodki/kurentovanje-2024/
LUV fest,"  Datum: 08. 02. 2024 - 12. 03. 2024 
  Kraj: Ljubljana, Različne lokacije po Ljubljani 
  Tip: Festivali, Kulturne prireditve, Zabavne prireditve
  Opomba: Podroben pretekli program si lahko preberete na LUV fest podstrani. 
","https://www.google.com/maps/dir/Current+Location/46.0578,14.4998","
LUV festival združuje Ljubezen, Umetnost in Vandranje po Ljubljani. 
 LUV festival združuje Ljubezen, Umetnost in Vandranje po Ljubljani.  LUV boste lahko v polnem pomenu izkusili od 8. februarja, ko se spominjamo Franceta Prešerna, največjega slovenskega pesnika, pa vse do 12. marca, ko se ženijo ptički. Tako oni, kot tudi vi si boste lahko v mesecu ljubezni: S festivalom LUV fest slavimo ljubezen do naše kulture, do naše dediščine, do slovenske besede. Pod skupno krovno temo ljubezni predstavljamo številne kulturne dogodke v mestu, pa tudi zanimiv spremljevalni program. Gre za festival vseh žanrov za vse generacije. Želimo, da Ljubljana v času festivala postane prostor odkrivanja, spoznavanja, srečevanja in sobivanja najrazličnejših kultur.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/luv-fest/
Festival LUV @Prulček,"  Datum: 08. 02. 2024 - 12. 03. 2024 
  Kraj: Ljubljana, Prulček 
  Tip: Kulturne prireditve
  Opomba: Vstop na koncerte je brezplačen, vendar je potrebna rezervacija na spletni strani organizatorja. 
","https://www.google.com/maps/dir/Current+Location/46.4612,14.5092","
Obiščite Prulček vsak dan od ponedeljka in sobote na izjemnem kulturnem doživetju.
 Obiščite Prulček vsak dan od ponedeljka in sobote na izjemnem kulturnem doživetju. V Prulčku, malem prizorišču z intimno atmosfero na robu centra Ljubljane, so doma izjemna kulturna doživetja. Vsak dan od ponedeljka do sobote se bo tam zgodila pestra kombinacija koncertnih ciklov, spontanosti in domačnosti, z bogatim spektrom glasbenih slogov in talentov.",https://www.prulcek.si
Prižig svetlobnih instalacij s plesnim dogodkom,"  Datum: 09. 02. 2024 ob 18:00
  Kraj: Ljubljana, Kongresni trg 
  Tip: Glasbene prireditve, Kulturne prireditve
  Opomba: O organizatorju: DISKOlektiv v vlogah plesalca, koreografa, klovna, pedagoga, pisca, producenta in v formatih kot so igra, predstava, instalacija, performans, publikacija, srečanja, dogodki... raziskuje, kaj vse so še ples in 
","https://www.google.com/maps/dir/Current+Location/46.0502,14.5039","
Sočutje je tista oblika ljubezni, ki je z nami, ko vandramo, tako po temi kot svetlobi, in nam pokaže, da sta tema in svetloba ter vandranje po njima prepleteni. 
 Sočutje je tista oblika ljubezni, ki je z nami, ko vandramo, tako po temi kot svetlobi, in nam pokaže, da sta tema in svetloba ter vandranje po njima prepleteni.  Sočutje je tista oblika ljubezni, ki je z nami, ko vandramo, tako po temi kot svetlobi, in nam pokaže, da sta tema in svetloba ter vandranje po njima prepleteni. Dogodek predlaga, da vstopimo v sočutje - do sebe, drugih, drugačnega od nas, nepoznanega - preko giba, dotika, zvoka in pogleda. Predlaga, da skupaj z njim prižgemo pet svetlobnih instalacij in osvetlimo park Zvezda ter pozdravimo LUV fest. Uprizoritelji, obiskovalci in mimoidoči se bomo zbrali na sredi parka, kjer nam bo DISKOlektiv predlagal načine vstopanja v sočutje, prižiganje instalacij in pozdravljanje LUV festa. Za oporo bodo med nami uprizoritelji, vodiči do stikal svetlobnih instalacij, konstelacij občutkov v nas in okoli nas. Vsak od nas bo povabljen, da se nekoliko bolj odpre za sebe, za druge, za ljubezen, za svetlobo, za LUV fest. Čisto malo bolj kot pred tem dogodkom. Skozi dogodek nas bo peljal dotik kot koreograf plesnega dogodka in DISKOlektiv predlaga, da naj vsa vprašanja, ki se nam bodo med dogodkom porajala, postavimo dotiku. No, dejansko to lahko storimo že sedaj, saj se že vedno nečesa ali nekoga dotikamo. Tudi prav zdaj, ko to beremo. Vse, kar moramo narediti, je prisluhniti, kaj nam dotik pravi in dati temu, kar predlaga, prednost pred tem, kar nam pravijo pomisleki, razmišljanja, razumevanja, predsodki, zadržki. S tem stopimo v sočutje in se z njim stopimo. To bo prižgalo LUV fest. Več o svetlobnih instalacijah si lahko preberete tukaj.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/luv-fest/
Pustna povorka v Laškem,"  Datum: 10. 02. 2024
  Kraj: Laško, Ulice Laškega, občinsko dvorišče 
  Tip: Etnološke prireditve, Zabavne prireditve
  Kontakt: TIC Laško 03 733 89 50 tic@stik-lasko.si 
","https://www.google.com/maps/dir/Current+Location/46.1541,15.2353","
Juhuhu, pust je tu! “Maske male in velike, okrogle, kvadratne in brez oblike, vabljene na cirkuško zabavo, s povorko, krofi in predstavo! Princese, vile, policaji, gusarji in papagaji, krofov bo dovolj za vse, vabljeni na laške ulice.”
 Juhuhu, pust je tu! “Maske male in velike, okrogle, kvadratne in brez oblike, vabljene na cirkuško zabavo, s povorko, krofi in predstavo! Princese, vile, policaji, gusarji in papagaji, krofov bo dovolj za vse, vabljeni na laške ulice.” Na pustno soboto, 10. 2. ob 15.00, vabimo vse prijazne in strašne, male in velike, skupinske in posamezne, norčave ter razigrane maske na pustno povorko. Povorka bo potekala po delu Pivovarniške ulice, Trubarjevi ulici, delu Mestne ulice in se zaključila na občinskem dvorišču, kjer bodo podeljene nagrade za najboljše maske. Po razglasitvi najboljših mask bo na občinskem dvorišču Laško, potekala zabava za najmlajše skupaj z žonglersko in ognjeno cirkuško skupino Čupakabra in kurenti s Ptuja.",https://lasko.info/dogodek/pustna-povorka-2024/
Zmajev karneval,"  Datum: 10. 02. 2024 ob 11:00
  Kraj: Ljubljana 
  Tip: Festivali, Kulturne prireditve, Otroške prireditve
  Kontakt: Turizem Ljubljana 01 306 12 15 info@visitljubljana.si 
","https://www.google.com/maps/dir/Current+Location/46.0479,14.5051","
Ljubljanski karneval obsega veliko pustno povorko po mestnih ulicah in zabavni program na Kongresnem trgu. V povorki med drugim nastopajo značilne maske iz poganskega ljudskega izročila kot so kurenti, laufarji, morostarji in druge. 
 Ljubljanski karneval obsega veliko pustno povorko po mestnih ulicah in zabavni program na Kongresnem trgu. V povorki med drugim nastopajo značilne maske iz poganskega ljudskega izročila kot so kurenti, laufarji, morostarji in druge.  Sprevod, na čelu katerega je zeleni ljubljanski zmaj in ki se ga bo udeležilo več kot 10 ljubljanskih vrtčevskih in osnovnošolskih skupin, pridružile pa se jim bodo še etnološke skupine, bobnarji in pihalni orkester, se bo pričel ob 11.00 na Novem trgu, nadaljeval čez Čevljarski most mimo Mestne hiše na Mestnem trgu, Tromostovja in Prešernovega trga in po Wolfovi ulici prispel do Kongresnega trga.  Tam bo obiskovalce pričakala glasbena točka, sledili pa ji bodo nastopi otroških pustnih mask, ki so letos še v večjem številu pripravile tudi krajše pevske in plesne točke. Skupinske maske predstavljajo pravljične junake, pri njihovi izdelavi pa so sledili načelom ponovne uporabe. Žejni in lačni se bodo lahko krepčali s sladkim priboljškom in pijačo, razposajene maškare pa čaka prostorno plesišče Kongresnega trga, saj bo za zaključek sledil še glasbeni DJ-program. Pustna tradicija na Slovenskem Tradicija praznovanja pusta z maskami in karnevali izhaja iz starodavnih poganskih časov. V Srednji Evropi so se po letu 1300 v povezavi s krščanskimi običaji zabave prenesle na čas pred štiridesetdnevnim postom. Slovenske pustne maske in šeme so zelo slikovite, pustni običaji pa so v marsičem edinstveni in odražajo nekdanje lokalne posebnosti vaških okolij. Najbolj znane med pustnimi šemami v Sloveniji so ptujski kurenti, cerkljanski laufarji, škoromati idr. V okolici Ljubljane so najbolj znane mačkare in petelini iz Dobrepolja.",https://www.visitljubljana.com/sl/obiskovalci/nacrtujte-svoj-obisk/prireditve/zmajev-karneval/
14.  Istrska pustna povorka,"  Datum: 10. 02. 2024 ob 11:00
  Kraj: Koper 
  Tip: Kulturne prireditve, Zabavne prireditve, Otroške prireditve
  Kontakt: Kristina Sarkić 041 211 816 kristina.sarkic@visitkoper.si 
","https://www.google.com/maps/dir/Current+Location/45.548,13.7305","
Na pustno soboto, 10. februarja 2024, bo Koper gostil številne pustne maske, med katerimi zagotovo ne bodo manjkali klovni, žonglerji in akrobati. Raznolike pustne maske bodo pričarale veselo vzdušje in pregnale zimo. Zavod za mladino, kulturo in turizem Koper pripravlja tudi pester zabavni program tako za otroke kot tudi za vse ljubitelje pustnega rajanja. 
 Na pustno soboto, 10. februarja 2024, bo Koper gostil številne pustne maske, med katerimi zagotovo ne bodo manjkali klovni, žonglerji in akrobati. Raznolike pustne maske bodo pričarale veselo vzdušje in pregnale zimo. Zavod za mladino, kulturo in turizem Koper pripravlja tudi pester zabavni program tako za otroke kot tudi za vse ljubitelje pustnega rajanja.  Sodelovanje v pustni povorki 14. Istrska pustna povorka se bo 10. februarja ob 11. uri predstavila obiskovalcem vzdolž Ljubljanske ceste in Pristaniške ulice, zaključek pustnega rajanja pa bo potekal v koprski Taverni. Zavod za mladino, kulturo in turizem Koper vabi skupine, da se prijavijo in sodelujejo v pustni povorki. Sodelovanje je mogoče v treh kategorijah: etnografske maske, pustne skupine in pustni vozovi. Vse sodelujoče skupine bodo deležne nadomestila za sodelovanje na prireditvi in praktične nagrade. Prijavite se TUKAJ, na povezavi so dostopni tudi pogoji sodelovanja. Rok za prijave se izteče v četrtek, 1. februarja.  Pustna tema: CIRKUS  Letošnja novost pustne povorke je usmeritvena tema, ki bo prinesla veliko veselja in smeha. 14. Istrska pustna povorka bo posvečena CIRKUSU. Vse sodelujoče v povorki vabimo, da sledijo usmeritvam in kreativno pripravijo svoje cirkuške pustne maske in vozove. Kreativnost ne pozna meja, lahko se oblečejo v barvite in zabavne cirkuške like, kot so klovni, žonglerji, akrobati, domače živali ali cirkuški direktorji. Svoje vozove lahko okrasijo v čudovite cirkuške elemente kot so zastave, baloni, plakati in številni drugi. Prepričani smo, da bo 14. Istrska pustna povorka v mestu pričala čisto pravo cirkuško zabavo.  Pustna tržnica: pustne dobrote vseh vrst  Na pustno soboto pa ne bo manjkalo slastnih dobrot. V mestu bo zaživela pustna tržnica, zato Zavod za mladino, kulturo in turizem Koper k sodelovanju vabi ponudnike s sladkim pustnim programom, gastronomskimi izdelki, pustnimi maskami in drugimi pustnimi pripomočki. Povezava do prijavnice in pogoji sodelovanja so na voljo TUKAJ. Rok za prijave za sodelovanje se izteče v petek, 26. januarja. Ne zamudite te priložnosti, da doživite edinstveno pustno vzdušje v Kopru! Dopoldne bo posvečeno najmlajšim, saj se bodo lahko ob posebnih animacijah zabavali, po povorki pa bo vzdušje še bolj razigrano na pustnem rajanju. Več informacij bo kmalu na voljo, zato spremljajte visitkoper.si.",https://visitkoper.si/v-koper-se-tudi-letos-vraca-istrska-pustna-povorka/
"Pustni karneval ""Pust je pršu""","  Datum: 11. 02. 2024
  Kraj: Ilirska Bistrica 
  Tip: Kulturne prireditve, Zabavne prireditve, Ostale prireditve
  Kontakt: Turistično informacijski center Ilirska Bistrica 040787178 info@tic-ilbistrica.si 
",,"
Vabljeni v Ilirsko Bistrico na 27. tradicionalno pustno povorko ""Pust je pršu 2024""!
 Vabljeni v Ilirsko Bistrico na 27. tradicionalno pustno povorko ""Pust je pršu 2024""! Škoromati so najstarejši še živ pustni običaj v tem delu Evrope in izjemna kulturna dediščina v svetovnem merilu. Maske se delijo na dobre in slabe, s Kleščarjem, čuvajem noči na čelu. Škoromati so najbolj divji in privlačen del znamenite pustne povorke po ulicah Ilirske Bistrice, ki vključuje tudi druge etnološke maske iz okolice, pa tudi sodobne, zabavne in aktualne šeme.",https://www.visitilirskabistrica.si/sl/e/pustni-karneval-pust-je-prsu-2
Čebelji zlet,"  Datum: 11. 02. 2024
  Kraj: Cerknica 
  Tip: Festivali, Zabavne prireditve, Otroške prireditve, Ostale prireditve
  Kontakt: Pust v Cerknici 031 668 223 info@pust.si 
",,"
Veliki pustni karneval po ulicah Cerknice.
 Veliki pustni karneval po ulicah Cerknice. Prihaja čas, ko znorijo Butalci, coprnice poletijo nad Slivnico in ko čisto pravi zmaj pozdravi vse obiskovalce pustnega rajanja v Butalah! Z nami bodo ponovno Jezerko, ščuka, Uršula, Liza, jež, žabec, in še marsikateri lik. Letos se bodo našemu karnevalu pridružile tudi najbolj pridne, marljive delavke - Kranjske sivke. Toliko vsega bo, da spet začnemo že ob točno okoli 12.32. Na pustno nedeljo, 11. 2. 2024.",https://pust.si/
